,Target,Available Business Disclosures,Disclosure,Sources,x,Source
1195,,generated upstream or downstream in its value chain.,,,,
1196,12.5,"Total weight of hazardous waste, with a breakdown by the following disposal methods where applicable:",306-2-a,GRI 306: Waste 2016,,
1197,,i.  Reuse,,,,
1198,,ii.  Recycling,,,,
1199,,iii.  Composting,,,,
1200,,"iv.  Recovery, including energy recovery",,,,
1201,,v.  Incineration (mass burn),,,,
1202,,vi.  Deep well injection,,,,
1203,,vii.  Landfill,,,,
1204,,viii.  On-site storage,,,,
1205,,ix.  Other (to be specified by the organization),,,,
1206,12.5,"Actions, including circularity measures, taken to prevent waste generation in the organization’s own",306-2-a,GRI 306: Waste 2020,,
1207,,"activities and upstream and downstream in its value chain, and to manage significant impacts from",,,,
1208,,waste generated.,,,,
1209,12.5,"Total weight of non-hazardous waste, with a breakdown by the following disposal methods",306-2-b,GRI 306: Waste 2016,,
1210,,where applicable:,,,,
1211,,i.  Reuse,,,,
1212,,ii.  Recycling,,,,
1213,,iii.  Composting,,,,
1214,,"iv.  Recovery, including energy recovery",,,,
1215,,v.  Incineration (mass burn),,,,
1216,,vi.  Deep well injection,,,,
1217,,vii.  Landfill,,,,
1218,,viii.  On-site storage,,,,
1219,,ix.  Other (to be specified by the organization),,,,
1220,12.5,"If the waste generated by the organization in its own activities is managed by a third party, a description",306-2-b,GRI 306: Waste 2020,,
1221,,of the processes used to determine whether the third party manages the waste in line with contractual or,,,,
1222,,legislative obligations.,,,,
1223,12.5,The processes used to collect and monitor waste-related data.,306-2-c,GRI 306: Waste 2020,,
1224,12.5,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition",306-3-a,GRI 306: Waste 2020,,
1225,,of the waste.,,,,
1226,12.5,"Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition",306-4-a,GRI 306: Waste 2020,,
1227,,of the waste.,,,,
1228,12.5,"Total weight of hazardous waste diverted from disposal in metric tons, and a breakdown of this total by",306-4-b,GRI 306: Waste 2020,,
1229,,the following recovery operations:,,,,
1230,,i.  Preparation for reuse;,,,,
1231,,ii.  Recycling;,,,,
1232,,iii.  Other recovery operations.,,,,
1233,12.5,"Total weight of non-hazardous waste diverted from disposal in metric tons, and a breakdown of this total",306-4-c,GRI 306: Waste 2020,,
1234,,by the following recovery operations:,,,,
1235,,i.  Preparation for reuse;,,,,
1236,,ii.  Recycling;,,,,
1237,,iii.  Other recovery operations.,,,,
1238,12.5,A breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste diverted,306-4-d,GRI 306: Waste 2020,,
1239,,from disposal:,,,,
1240,,i.  onsite;,,,,
1241,,ii.  offsite.,,,,
1242,12.5,"Total weight of waste directed to disposal in metric tons, and a breakdown of this total by composition of",306-5-a,GRI 306: Waste 2020,,
1243,,the waste.,,,,
1244,12.5,"Total weight of hazardous waste directed to disposal in metric tons, and a breakdown of this total by the",306-5-b,GRI 306: Waste 2020,,
1245,,following disposal operations:,,,,
1246,,i.  Incineration (with energy recovery);,,,,
1247,,ii.  Incineration (without energy recovery);,,,,
1248,,iii.  Landfilling;,,,,
1249,,iv.  Other disposal operations.,,,,
1250,12.5,"Total weight of non-hazardous waste directed to disposal in metric tons, and a breakdown of this total by",306-5-c,GRI 306: Waste 2020,,
1251,,the following disposal operations:,,,,
1252,,i.  Incineration (with energy recovery);,,,,
1253,,ii.  Incineration (without energy recovery);,,,,
1254,,iii.  Landfilling;,,,,
1255,,iv.  Other disposal operations.,,,,
1256,12.5,"For each disposal operation listed in Disclosures 306-5-b and 306-5-c, a breakdown of the total weight in",306-5-d,GRI 306: Waste 2020,,
1257,,metric tons of hazardous waste and of non-hazardous waste directed to disposal:,,,,
1258,,i.  onsite;,,,,
1259,,ii.  offsite.,,,,
1260,12.8,a.  Whether each of the following types of information is required by the organization’s procedures for,417-1,GRI 417: Marketing and,,
1261,,product and service information and labeling:,,Labeling 2016,,
1262,,i.   The sourcing of components of the product or service;,,,,
1263,,"ii.  Content, particularly with regard to substances that might produce an environmental or social",,,,
1264,,impact;,,,,
1265,,iii.   Safe use of the product or service;,,,,
1266,,iv.  Disposal of the product and environmental or social impacts;,,,,
1267,,v.   Other (explain).,,,,
1268,,b.   Percentage of significant product or service categories covered by and assessed for compliance with,,,,
1269,,such procedures.,,,,
1270,13.1,Risks and opportunities posed by climate change that have the potential to generate substantive,201-2-a,GRI 201: Economic,,
1271,,"changes in operations, revenue, or expenditure, including:",,Performance 2016,,
1272,,"i.   A description of the risk or opportunity and its classification as either physical, regulatory, or",,,,
1273,,other;,,,,
1274,,ii.  A description of the impact associated with the risk or opportunity;,,,,
1275,,iii.  The financial implications of the risk or opportunity before action is taken;,,,,
1276,,iv.  The methods used to manage the risk or opportunity;,,,,
1277,,v.   The costs of actions taken to manage the risk or opportunity.,,,,
1278,13.1,"a.   Total fuel consumption within the organization from non-renewable sources, in joules or multiples,",302-1,GRI 302: Energy 2016,,
1279,,and including fuel types used.,,,,
1280,,"b.  Total fuel consumption within the organization from renewable sources, in joules or multiples, and",,,,
1281,,including fuel types used.,,,,
1282,,"c.  In joules, watt-hours or multiples, the total:",,,,
1283,,i.   electricity consumption,,,,
1284,,ii.  heating consumption,,,,
1285,,iii.  cooling consumption,,,,
1286,,iv.  steam consumption,,,,
1287,,"d.  In joules, watt-hours or multiples, the total:",,,,
1288,,i.  electricity sold,,,,
1289,,ii.  heating sold,,,,
1290,,iii.   cooling sold,,,,
1291,,iv.   steam sold,,,,
1292,,"e.   Total energy consumption within the organization, in joules or multiples.",,,,
1293,,"f.   Standards, methodologies, assumptions, and/or calculation tools used.",,,,
1294,,g.   Source of the conversion factors used.,,,,
1295,13.1,"Energy consumption outside of the organization, in joules or multiples.",302-2-a,GRI 302: Energy 2016,,
1296,13.1,Energy intensity ratio for the organization.,302-3-a,GRI 302: Energy 2016,,
1297,13.1,Amount of reductions in energy consumption achieved as a direct result of conservation and efficiency,302-4-a,GRI 302: Energy 2016,,
1298,,"initiatives, in joules or multiples.",,,,
1299,13.1,"Reductions in energy requirements of sold products and services achieved during the reporting period,",302-5-a,GRI 302: Energy 2016,,
1300,,in joules or multiples.,,,,
1301,13.1,a.   Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent.,305-1,GRI 305: Emissions 2016,,
1302,,"b.   Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.",,,,
1303,,c.  Biogenic CO2 emissions in metric tons of CO2 equivalent.,,,,
1304,13.1,a. Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent.,305-2,GRI 305: Emissions 2016,,
1305,,"b. If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2",,,,
1306,,equivalent.,,,,
1307,,"c. If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or",,,,
1308,,all.,,,,
1309,13.1,a.  Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent.,305-3,GRI 305: Emissions 2016,,
1310,,"b.   If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,",,,,
1311,,or all.,,,,
1312,,c.   Biogenic CO2 emissions in metric tons of CO2 equivalent.,,,,
1313,,d.  Other indirect (Scope 3) GHG emissions categories and activities included in the calculation.,,,,
1314,13.1,GHG emissions intensity ratio for the organization.,305-4-a,GRI 305: Emissions 2016,,
1315,13.1,"GHG emissions reduced as a direct result of reduction initiatives, in metric tons of CO2 equivalent.",305-5-a,GRI 305: Emissions 2016,,
1316,14.2,"For each operational site owned, leased, managed in, or adjacent to, protected areas and areas of high",304-1-a,GRI 304: Biodiversity 2016,,
1317,,"biodiversity value outside protected areas, the following information:",,,,
1318,,i.  Geographic location;,,,,
1319,,"ii.   Subsurface and underground land that may be owned, leased, or managed by the organization;",,,,
1320,,"iii.   Position in relation to the protected area (in the area, adjacent to, or containing portions of the",,,,
1321,,protected area) or the high biodiversity value area outside protected areas;,,,,
1322,,"iv.   Type of operation (office, manufacturing or production, or extractive);",,,,
1323,,"v.  Size of operational site in km2 (or another unit, if appropriate);",,,,
1324,,vi.  Biodiversity value characterized by the attribute of the protected area or area of high biodiversity,,,,
1325,,"value outside the protected area (terrestrial, freshwater, or maritime ecosystem);",,,,
1326,,vii.Biodiversity value characterized by listing of protected status (such as IUCN Protected Area,,,,
1327,,"Management Categories, Ramsar Convention, national legislation).",,,,
1328,14.2,a.  Nature of significant direct and indirect impacts on biodiversity with reference to one or more of the,304-2,GRI 304: Biodiversity 2016,,
1329,,following:,,,,
1330,,"i.   Construction or use of manufacturing plants, mines, and transport infrastructure;",,,,
1331,,ii.  Pollution (introduction of substances that do not naturally occur in the habitat from point and,,,,
1332,,non-point sources);,,,,
1333,,"iii.  Introduction of invasive species, pests, and pathogens;",,,,
1334,,iv.   Reduction of species;,,,,
1335,,v.   Habitat conversion;,,,,
1336,,vi.  Changes in ecological processes outside the natural range of variation (such as salinity or,,,,
1337,,changes in groundwater level).,,,,
1338,,b.  Significant direct and indirect positive and negative impacts with reference to the following:,,,,
1339,,i.   Species affected;,,,,
1340,,ii.  Extent of areas impacted;,,,,
1341,,iii.  Duration of impacts;,,,,
1342,,iv.   Reversibility or irreversibility of the impacts.,,,,
1343,14.2,"Size and location of all habitat areas protected or restored, and whether the success of the restoration",304-3-a,GRI 304: Biodiversity 2016,,
1344,,measure was or is approved by independent external professionals.,,,,
1345,14.2,Whether partnerships exist with third parties to protect or restore habitat areas distinct from where the,304-3-b,GRI 304: Biodiversity 2016,,
1346,,organization has overseen and implemented restoration or protection measures.,,,,
1347,14.2,Total number of IUCN Red List species and national conservation list species with habitats in areas,304-4-a,GRI 304: Biodiversity 2016,,
1348,,"affected by the operations of the organization, by level of extinction risk:",,,,
1349,,i.  Critically endangered,,,,
1350,,ii.  Endangered,,,,
1351,,iii.  Vulnerable,,,,
1352,,iv.  Near threatened,,,,
1353,,v.  Least concern,,,,
1354,14.3,a.   Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent.,305-1,GRI 305: Emissions 2016,,
1355,,"b.  Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.",,,,
1356,,c.   Biogenic CO2 emissions in metric tons of CO2 equivalent.,,,,
1357,,"d.   Base year for the calculation, if applicable, including:",,,,
1358,,i.  the rationale for choosing it;,,,,
1359,,ii.   emissions in the base year;,,,,
1360,,iii.   the context for any significant changes in emissions that triggered recalculations of base year,,,,
1361,,emissions.,,,,
1362,,"e.   Source of the emission factors and the global warming potential (GWP) rates used, or a reference to",,,,
1363,,the GWP source.,,,,
1364,,"f.  Consolidation approach for emissions; whether equity share, financial control, or operational control.",,,,
1365,,"g.   Standards, methodologies, assumptions, and/or calculation tools used.",,,,
1366,14.3,a.   Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent.,305-2,GRI 305: Emissions 2016,,
1367,,"b.   If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2",,,,
1368,,equivalent.,,,,
1369,,"c.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,",,,,
1370,,or all.,,,,
1371,,"d.   Base year for the calculation, if applicable, including:",,,,
1372,,i.  the rationale for choosing it;,,,,
1373,,ii.  emissions in the base year;,,,,
1374,,iii.  the context for any significant changes in emissions that triggered recalculations of base year,,,,
1375,,emissions.,,,,
1376,,"e.  Source of the emission factors and the global warming potential (GWP) rates used, or a reference to",,,,
1377,,the GWP source.,,,,
1378,,"f.   Consolidation approach for emissions; whether equity share, financial control, or operational control.",,,,
1379,,"g.  Standards, methodologies, assumptions, and/or calculation tools used.",,,,
1380,14.3,a.   Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent.,305-3,GRI 305: Emissions 2016,,
1381,,"b.   If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,",,,,
1382,,or all.,,,,
1383,,c.   Biogenic CO2 emissions in metric tons of CO2 equivalent.,,,,
1384,,d.  Other indirect (Scope 3) GHG emissions categories and activities included in the calculation.,,,,
1385,,"e.   Base year for the calculation, if applicable, including:",,,,
1386,,i.  the rationale for choosing it;,,,,
1387,,ii.  emissions in the base year;,,,,
1388,,iii.  the context for any significant changes in emissions that triggered recalculations of base year,,,,
1389,,emissions.,,,,
1390,,"f.  Source of the emission factors and the global warming potential (GWP) rates used, or a reference to",,,,
1391,,the GWP source.,,,,
1392,,"g.  Standards, methodologies, assumptions, and/or calculation tools used.",,,,
1393,14.3,GHG emissions intensity ratio for the organization.,305-4-a,GRI 305: Emissions 2016,,
1394,14.3,"GHG emissions reduced as a direct result of reduction initiatives, in metric tons of CO2 equivalent.",305-5-a,GRI 305: Emissions 2016,,
1395,14.3,"a.  Significant air emissions, in kilograms or multiples, for each of the following:",305-7,GRI 305: Emissions 2016,,
1396,,i.  NOX,,,,
1397,,ii.  SOX,,,,
1398,,iii.  Persistent organic pollutants (POP),,,,
1399,,iv.  Volatile organic compounds (VOC),,,,
1400,,v.  Hazardous air pollutants (HAP),,,,
1401,,vi.  Particulate matter (PM),,,,
1402,,vii.  Other standard categories of air emissions identified in relevant regulations,,,,
1403,,b.  Source of the emission factors used.,,,,
1404,,"c.  Standards, methodologies, assumptions, and/or calculation tools used.",,,,
1405,15.1,"For each operational site owned, leased, managed in, or adjacent to, protected areas and areas of high",304-1-a,GRI 304: Biodiversity 2016,,
1406,,"biodiversity value outside protected areas, the following information:",,,,
1407,,i.  Geographic location;,,,,
1408,,"ii.   Subsurface and underground land that may be owned, leased, or managed by the organization;",,,,
1409,,"iii.  Position in relation to the protected area (in the area, adjacent to, or containing portions of the",,,,
1410,,protected area) or the high biodiversity value area outside protected areas;,,,,
1411,,"iv.  Type of operation (office, manufacturing or production, or extractive);",,,,
1412,,"v.   Size of operational site in km2 (or another unit, if appropriate);",,,,
1413,,vi.   Biodiversity value characterized by the attribute of the protected area or area of high biodiversity,,,,
1414,,"value outside the protected area (terrestrial, freshwater, or maritime ecosystem);",,,,
1415,,vii.Biodiversity value characterized by listing of protected status (such as IUCN Protected Area,,,,
1416,,"Management Categories, Ramsar Convention, national legislation).",,,,
1417,15.1,a.   Nature of significant direct and indirect impacts on biodiversity with reference to one or more of the,304-2,GRI 304: Biodiversity 2016,,
1418,,following:,,,,
1419,,"i.  Construction or use of manufacturing plants, mines, and transport infrastructure;",,,,
1420,,ii.   Pollution (introduction of substances that do not naturally occur in the habitat from point and,,,,
1421,,non-point sources);,,,,
1422,,"iii.   Introduction of invasive species, pests, and pathogens;",,,,
1423,,iv.   Reduction of species;,,,,
1424,,v.  Habitat conversion;,,,,
1425,,vi.  Changes in ecological processes outside the natural range of variation (such as salinity or,,,,
1426,,changes in groundwater level).,,,,
1427,,b.  Significant direct and indirect positive and negative impacts with reference to the following:,,,,
1428,,i.   Species affected;,,,,
1429,,ii.   Extent of areas impacted;,,,,
1430,,iii.  Duration of impacts;,,,,
1431,,iv.   Reversibility or irreversibility of the impacts.,,,,
1432,15.1,"a.  Size and location of all habitat areas protected or restored, and whether the success of the",304-3,GRI 304: Biodiversity 2016,,
1433,,restoration measure was or is approved by independent external professionals.,,,,
1434,,b.   Whether partnerships exist with third parties to protect or restore habitat areas distinct from where,,,,
1435,,the organization has overseen and implemented restoration or protection measures.,,,,
1436,,c.  Status of each area based on its condition at the close of the reporting period.,,,,
1437,,"d.   Standards, methodologies, and assumptions used.",,,,
1438,15.1,Total number of IUCN Red List species and national conservation list species with habitats in areas,304-4-a,GRI 304: Biodiversity 2016,,
1439,,"affected by the operations of the organization, by level of extinction risk:",,,,
1440,,i.  Critically endangered,,,,
1441,,ii.  Endangered,,,,
1442,,iii.  Vulnerable,,,,
1443,,iv.  Near threatened,,,,
1444,,v.  Least concern,,,,
1445,15.1,Total number and total volume of recorded significant spills.,306-3-a,GRI 306: Waste 2016,,
1446,15.1,Impacts of significant spills.,306-3-b,GRI 306: Waste 2016,,
1447,15.1,The following additional information for each spill that was reported in the organization’s financial,306-3-c,GRI 306: Waste 2016,,
1448,,statements:,,,,
1449,,i.  Location of spill;,,,,
1450,,ii.  Volume of spill;,,,,
1451,,"iii.   Material of spill, categorized by: oil spills (soil or water surfaces), fuel spills (soil or water",,,,
1452,,"surfaces), spills of wastes (soil or water surfaces), spills of chemicals (mostly soil or water",,,,
1453,,"surfaces), and other (to be specified by the organization).",,,,
1454,15.1,"Water bodies and related habitats that are significantly affected by water discharges and/or runoff,",306-5-a,GRI 306: Waste 2016,,
1455,,including information on:,,,,
1456,,i.  The size of the water body and related habitat;,,,,
1457,,ii.   Whether the water body and related habitat is designated as a nationally or internationally,,,,
1458,,protected area;,,,,
1459,,"iii.  The biodiversity value, such as total number of protected species.",,,,
1460,15.2,a.   Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent.,305-1,GRI 305: Emissions 2016,,
1461,,"b.  Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.",,,,
1462,,c.   Biogenic CO2 emissions in metric tons of CO2 equivalent.,,,,
1463,,"d.  Base year for the calculation, if applicable, including:",,,,
1464,,i.   the rationale for choosing it;,,,,
1465,,ii.  emissions in the base year;,,,,
1466,,iii.  the context for any significant changes in emissions that triggered recalculations of base year,,,,
1467,,emissions.,,,,
1468,,"e.  Source of the emission factors and the global warming potential (GWP) rates used, or a reference to",,,,
1469,,the GWP source.,,,,
1470,,"f.   Consolidation approach for emissions; whether equity share, financial control, or operational control.",,,,
1471,,"g.   Standards, methodologies, assumptions, and/or calculation tools used.",,,,
1472,15.2,a.   Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent.,305-2,GRI 305: Emissions 2016,,
1473,,"b.  If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2",,,,
1474,,equivalent.,,,,
1475,,"c.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,",,,,
1476,,or all.,,,,
1477,,"d.   Base year for the calculation, if applicable, including:",,,,
1478,,i.  the rationale for choosing it;,,,,
1479,,ii.  emissions in the base year;,,,,
1480,,iii.  the context for any significant changes in emissions that triggered recalculations of base year,,,,
1481,,emissions.,,,,
1482,,"e.   Source of the emission factors and the global warming potential (GWP) rates used, or a reference to",,,,
1483,,the GWP source.,,,,
1484,,"f.  Consolidation approach for emissions; whether equity share, financial control, or operational control.",,,,
1485,,"g.   Standards, methodologies, assumptions, and/or calculation tools used.",,,,
1486,15.2,a.   Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent.,305-3,GRI 305: Emissions 2016,,
1487,,"b.   If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,",,,,
1488,,or all.,,,,
1489,,c.   Biogenic CO2 emissions in metric tons of CO2 equivalent.,,,,
1490,,d.   Other indirect (Scope 3) GHG emissions categories and activities included in the calculation.,,,,
1491,,"e.  Base year for the calculation, if applicable, including:",,,,
1492,,i.  the rationale for choosing it;,,,,
1493,,ii.  emissions in the base year;,,,,
1494,,iii.  the context for any significant changes in emissions that triggered recalculations of base year,,,,
1495,,emissions.,,,,
1496,,"f.   Source of the emission factors and the global warming potential (GWP) rates used, or a reference to",,,,
1497,,the GWP source.,,,,
1498,,"g.  Standards, methodologies, assumptions, and/or calculation tools used.",,,,
1499,15.2,GHG emissions intensity ratio for the organization,305-4-a,GRI 305: Emissions 2016,,
1500,15.2,"GHG emissions reduced as a direct result of reduction initiatives, in metric tons of CO2 equivalent.",305-5-a,GRI 305: Emissions 2016,,
1501,15.2,"a.  Significant air emissions, in kilograms or multiples, for each of the following:",305-7,GRI 305: Emissions 2016,,
1502,,i.  NOX,,,,
1503,,ii.  SOX,,,,
1504,,iii.  Persistent organic pollutants (POP),,,,
1505,,iv.  Volatile organic compounds (VOC),,,,
1506,,v.  Hazardous air pollutants (HAP),,,,
1507,,vi.  Particulate matter (PM),,,,
1508,,vii.  Other standard categories of air emissions identified in relevant regulations,,,,
1509,,b.   Source of the emission factors used.,,,,
1510,,"c.   Standards, methodologies, assumptions, and/or calculation tools used.",,,,
1511,15.5,"a.   For each operational site owned, leased, managed in, or adjacent to, protected areas and areas of",304-1-a,GRI 304: Biodiversity 2016,,
1512,,"high biodiversity value outside protected areas, the following information:",,,,
1513,,i.   Geographic location;,,,,
1514,,"ii.  Subsurface and underground land that may be owned, leased, or managed by the organization;",,,,
1515,,"iii.   Position in relation to the protected area (in the area, adjacent to, or containing portions of the",,,,
1516,,protected area) or the high biodiversity value area outside protected areas;,,,,
1517,,"iv.   Type of operation (office, manufacturing or production, or extractive);",,,,
1518,,"v.   Size of operational site in km2 (or another unit, if appropriate);",,,,
1519,,vi.  Biodiversity value characterized by the attribute of the protected area or area of high biodiversity,,,,
1520,,"value outside the protected area (terrestrial, freshwater, or maritime ecosystem);",,,,
1521,,vii.Biodiversity value characterized by listing of protected status (such as IUCN Protected Area,,,,
1522,,"Management Categories, Ramsar Convention, national legislation).",,,,
1523,15.5,a.   Nature of significant direct and indirect impacts on biodiversity with reference to one or more of the,304-2,GRI 304: Biodiversity 2016,,
1524,,following:,,,,
1525,,"i.  Construction or use of manufacturing plants, mines, and transport infrastructure;",,,,
1526,,ii.   Pollution (introduction of substances that do not naturally occur in the habitat from point and,,,,
1527,,non-point sources);,,,,
1528,,"iii.  Introduction of invasive species, pests, and pathogens;",,,,
1529,,iv.  Reduction of species;,,,,
1530,,v.   Habitat conversion;,,,,
1531,,vi.  Changes in ecological processes outside the natural range of variation (such as salinity or,,,,
1532,,changes in groundwater level).,,,,
1533,,b.  Significant direct and indirect positive and negative impacts with reference to the following:,,,,
1534,,i.  Species affected;,,,,
1535,,ii.  Extent of areas impacted;,,,,
1536,,iii.   Duration of impacts;,,,,
1537,,iv.   Reversibility or irreversibility of the impacts.,,,,
1538,15.5,"a.   Size and location of all habitat areas protected or restored, and whether the success of the",304-3,GRI 304: Biodiversity 2016,,
1539,,restoration measure was or is approved by independent external professionals.,,,,
1540,,b.   Whether partnerships exist with third parties to protect or restore habitat areas distinct from where,,,,
1541,,the organization has overseen and implemented restoration or protection measures.,,,,
1542,,c.  Status of each area based on its condition at the close of the reporting period.,,,,
1543,,"d.  Standards, methodologies, and assumptions used.",,,,
1544,15.5,Total number of IUCN Red List species and national conservation list species with habitats in areas,304-4-a,GRI 304: Biodiversity 2016,,
1545,,"affected by the operations of the organization, by level of extinction risk:",,,,
1546,,i.  Critically endangered,,,,
1547,,ii.  Endangered,,,,
1548,,iii.  Vulnerable,,,,
1549,,iv.  Near threatened,,,,
1550,,v.  Least concern,,,,
1551,16.1,Report the information for all employees about:,403-9-a,GRI 403: Occupational,,
1552,,i.   The number and rate of fatalities as a result of work-related injury;,,Health and Safety 2018,,
1553,,ii.   The number and rate of high-consequence work-related injuries (excluding fatalities);,,,,
1554,,iii.  The number and rate of recordable work-related injuries;,,,,
1555,,iv.   The main types of work-related injury;,,,,
1556,,v.   The number of hours worked.,,,,
1557,,"Whether and, if so, why any workers have been excluded from this disclosure, including the types of",,,,
1558,,worker excluded.,,,,
1559,,"Any contextual information necessary to understand how the data have been compiled, such as any",,,,
1560,,"standards, methodologies, and assumptions used.",,,,
1561,16.1,Report the information for all workers who are not employees but whose work and/or workplace is,403-9-b,GRI 403: Occupational,,
1562,,controlled by the organization:,,Health and Safety 2018,,
1563,,i.  The number and rate of fatalities as a result of work-related injury;,,,,
1564,,ii.   The number and rate of high-consequence work-related injuries (excluding fatalities);,,,,
1565,,iii.   The number and rate of recordable work-related injuries;,,,,
1566,,iv.  The main types of work-related injury;,,,,
1567,,v.  The number of hours worked.,,,,
1568,,"Whether and, if so, why any workers have been excluded from this disclosure, including the types of",,,,
1569,,worker excluded.,,,,
1570,,"Any contextual information necessary to understand how the data have been compiled, such as any",,,,
1571,,"standards, methodologies, and assumptions used.",,,,
1572,16.1,"The work-related hazards that pose a risk of high-consequence injury, including:",403-9-c,GRI 403: Occupational,,
1573,,i.   how these hazards have been determined;,,Health and Safety 2018,,
1574,,ii.   which of these hazards have caused or contributed to high-consequence injuries during the,,,,
1575,,reporting period;,,,,
1576,,iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of,,,,
1577,,controls.,,,,
1578,,Any actions taken or underway to eliminate other work-related hazards and minimize risks using the,,,,
1579,,hierarchy of controls.,,,,
1580,16.1,a.   For all employees:,403-10,GRI 403: Occupational,,
1581,,i.  The number of fatalities as a result of work-related ill health;,,Health and Safety 2018,,
1582,,ii.  The number of cases of recordable work-related ill health;,,,,
1583,,iii.   The main types of work-related ill health.,,,,
1584,,b.   For all workers who are not employees but whose work and/or workplace is controlled by the,,,,
1585,,organization:,,,,
1586,,i.  The number of fatalities as a result of work-related ill health;,,,,
1587,,ii.  The number of cases of recordable work-related ill health;,,,,
1588,,iii.  The main types of work-related ill health.,,,,
1589,,"c.   The work-related hazards that pose a risk of ill health, including:",,,,
1590,,i.  how these hazards have been determined;,,,,
1591,,ii.  which of these hazards have caused or contributed to cases of ill health during the reporting,,,,
1592,,period;,,,,
1593,,iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of,,,,
1594,,controls.,,,,
1595,,"d.   Whether and, if so, why any workers have been excluded from this disclosure, including the types of",,,,
1596,,worker excluded.,,,,
1597,,"e.   Any contextual information necessary to understand how the data have been compiled, such as any",,,,
1598,,"standards, methodologies, and assumptions used.",,,,
1599,16.1,a.   Percentage of security personnel who have received formal training in the organization’s human,410-1,GRI 410: Security,,
1600,,rights policies or specific procedures and their application to security.,,Practices 2016,,
1601,,b.   Whether training requirements also apply to third-party organizations providing security personnel.,,,,
1602,16.1,Percentage of new suppliers that were screened using social criteria,414-1-a,GRI 414: Supplier Social,,
1603,,,,Assessment 2016,,
1604,16.1,a.   Number of suppliers assessed for social impacts.,414-2,GRI 414: Supplier Social,,
1605,,b.   Number of suppliers identified as having significant actual and potential negative social impacts.,,Assessment 2016,,
1606,,c.   Significant actual and potential negative social impacts identified in the supply chain.,,,,
1607,,d.   Percentage of suppliers identified as having significant actual and potential negative social impacts,,,,
1608,,with which improvements were agreed upon as a result of assessment.,,,,
1609,,e.   Percentage of suppliers identified as having significant actual and potential negative social impacts,,,,
1610,,"with which relationships were terminated as a result of assessment, and why.",,,,
1611,16.2,a.   Operations and suppliers considered to have significant risk for incidents of:,408-1,GRI 408: Child Labor 2016,,
1612,,i.  child labor;,,,,
1613,,ii.  young workers exposed to hazardous work.,,,,
1614,,b.   Operations and suppliers considered to have significant risk for incidents of child labor either in,,,,
1615,,terms of:,,,,
1616,,i.   type of operation (such as manufacturing plant) and supplier;,,,,
1617,,ii.  countries or geographic areas with operations and suppliers considered at risk.,,,,
1618,,c.   Measures taken by the organization in the reporting period intended to contribute to the effective,,,,
1619,,abolition of child labor.,,,,
1620,16.3,"A description of the organization’s values, principles, standards, and norms of behavior.",102-16-a,GRI 102: General,,
1621,,,,Disclosures 2016,,
1622,16.3,A description of internal and external mechanisms for:,102-17-a,GRI 102: General,,
1623,,"i.  Seeking advice about ethical and lawful behavior, and organizational integrity;",,Disclosures 2016,,
1624,,"ii.  Reporting concerns about unethical or unlawful behavior, and organizational integrity",,,,
1625,16.3,a.   Number of legal actions pending or completed during the reporting period regarding anti-competitive,206-1,GRI 206: Anti-competitive,,
1626,,behavior and violations of anti-trust and monopoly legislation in which the organization has been,,Behavior 2016,,
1627,,identified as a participant.,,,,
1628,,"b.   Main outcomes of completed legal actions, including any decisions or judgments.",,,,
1629,16.3,Significant fines and non-monetary sanctions for non-compliance with environmental laws and/or,307-1-a,GRI 307: Environmental,,
1630,,regulations in terms of:,,Compliance 2016,,
1631,,i.   Total monetary value of significant fines;,,,,
