,Target,Available Business Disclosures,Source
292,16.1,"b.   Number of suppliers identified as having significant actual and potential negative social impacts., 
c.   Significant actual and potential negative social impacts identified in the supply chain., 
d.   Percentage of suppliers identified as having significant actual and potential negative social impacts, 
with which improvements were agreed upon as a result of assessment., 
e.   Percentage of suppliers identified as having significant actual and potential negative social impacts, 
with which relationships were terminated as a result of assessment, and why.","Assessment 2016, 414-2"
293,16.1,Methods to interact with audiences and results,"G4 Sector Disclosure 2010, M6"
294,16.1,"Nature and extent of knowledge transfer of best practice, and lessons learned","G4 Sector Disclosure 2012, EO12"
295,16.1,"Expressions of dissent by type, issue, scale and response","G4 Sector Disclosure 2012, EO4"
296,16.1,"Actions taken to improve performance in relation to content dissemination issues (accessibility and, 
protection of vulnerable audiences and informed decision making) and results obtained","G4 Sector Disclosure 2012, M4"
297,16.1,"Number and nature of responses (feedback/complaints) related to content dissemination, including, 
protection of vulnerable audiences and informed decision making and accessibility, and processes for, 
addressing these responses","G4 Sector Disclosure 2012, M5"
298,16.1,a.   For all employees:,"GRI 403: Occupational, 403-10"
299,16.1,Report the information for all employees about:,"GRI 403: Occupational, 403-9-a"
300,16.1,Report the information for all workers who are not employees but whose work and/or workplace is,"GRI 403: Occupational, 403-9-b"
301,16.1,"The work-related hazards that pose a risk of high-consequence injury, including:","GRI 403: Occupational, 403-9-c"
302,16.1,a.   Percentage of security personnel who have received formal training in the organization’s human,"GRI 410: Security, 410-1"
303,16.1,Percentage of new suppliers that were screened using social criteria,"GRI 414: Supplier Social, 414-1-a"
304,16.1,a.   Number of suppliers assessed for social impacts.,"GRI 414: Supplier Social, 414-2"
305,16.1,"a.   Total number of substantiated complaints received concerning breaches of customer privacy,","GRI 418: Customer, 418-1"
306,16.1,"i.  The number of fatalities as a result of work-related ill health;, 
ii.  The number of cases of recordable work-related ill health;, 
iii.   The main types of work-related ill health., 
b.   For all workers who are not employees but whose work and/or workplace is controlled by the, 
organization:, 
i.  The number of fatalities as a result of work-related ill health;, 
ii.  The number of cases of recordable work-related ill health;, 
iii.  The main types of work-related ill health., 
c.   The work-related hazards that pose a risk of ill health, including:, 
i.  how these hazards have been determined;, 
ii.  which of these hazards have caused or contributed to cases of ill health during the reporting, 
period;, 
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of, 
controls., 
d.   Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
e.   Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.","Health and Safety 2018, 403-10"
307,16.1,"i.   The number and rate of fatalities as a result of work-related injury;, 
ii.   The number and rate of high-consequence work-related injuries (excluding fatalities);, 
iii.  The number and rate of recordable work-related injuries;, 
iv.   The main types of work-related injury;, 
v.   The number of hours worked., 
Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.","Health and Safety 2018, 403-9-a"
308,16.1,"controlled by the organization:, 
i.  The number and rate of fatalities as a result of work-related injury;, 
ii.   The number and rate of high-consequence work-related injuries (excluding fatalities);, 
iii.   The number and rate of recordable work-related injuries;, 
iv.  The main types of work-related injury;, 
v.  The number of hours worked., 
Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.","Health and Safety 2018, 403-9-b"
309,16.1,"i.   how these hazards have been determined;, 
ii.   which of these hazards have caused or contributed to high-consequence injuries during the, 
reporting period;, 
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of, 
controls., 
Any actions taken or underway to eliminate other work-related hazards and minimize risks using the, 
hierarchy of controls.","Health and Safety 2018, 403-9-c"
310,16.1,"rights policies or specific procedures and their application to security., 
b.   Whether training requirements also apply to third-party organizations providing security personnel.","Practices 2016, 410-1"
311,16.1,"categorized by:, 
i.  complaints received from outside parties and substantiated by the organization;, 
ii.   complaints from regulatory bodies., 
b.   Total number of identified leaks, thefts, or losses of customer data., 
c.   If the organization has not identified any substantiated complaints, a brief statement of this fact is, 
sufficient.","Privacy 2016, 418-1"
312,16.2,"a.   Operations and suppliers considered to have significant risk for incidents of:, 
i.  child labor;, 
ii.  young workers exposed to hazardous work., 
b.   Operations and suppliers considered to have significant risk for incidents of child labor either in, 
terms of:, 
i.   type of operation (such as manufacturing plant) and supplier;, 
ii.  countries or geographic areas with operations and suppliers considered at risk., 
c.   Measures taken by the organization in the reporting period intended to contribute to the effective, 
abolition of child labor.","GRI 408: Child Labor 2016, 408-1"
313,16.3,"behavior and violations of anti-trust and monopoly legislation in which the organization has been, 
identified as a participant., 
b.   Main outcomes of completed legal actions, including any decisions or judgments.","Behavior 2016, 206-1"
314,16.3,"regulations in terms of:, 
i.   Total monetary value of significant fines;, 
ii.   Total number of non-monetary sanctions;, 
iii.   Cases brought through dispute resolution mechanisms.","Compliance 2016, 307-1-a"
315,16.3,"social and economic area in terms of:, 
i.   Total monetary value of significant fines;, 
ii.  Total number of non-monetary sanctions;, 
iii.   Cases brought through dispute resolution mechanism","Compliance 2016, 419-1-a"
316,16.3,"A description of the organization’s values, principles, standards, and norms of behavior.","Disclosures 2016, 102-16-a"
317,16.3,"i.  Seeking advice about ethical and lawful behavior, and organizational integrity;, 
ii.  Reporting concerns about unethical or unlawful behavior, and organizational integrity","Disclosures 2016, 102-17-a"
318,16.3,"A description of the organization’s values, principles, standards, and norms of behavior.","GRI 102: General, 102-16-a"
319,16.3,A description of internal and external mechanisms for:,"GRI 102: General, 102-17-a"
320,16.3,a.   Number of legal actions pending or completed during the reporting period regarding anti-competitive,"GRI 206: Anti-competitive, 206-1"
321,16.3,Significant fines and non-monetary sanctions for non-compliance with environmental laws and/or,"GRI 307: Environmental, 307-1-a"
322,16.3,a.   Total number of incidents of non-compliance with regulations and/or voluntary codes concerning the,"GRI 416: Customer Health, 416-2"
323,16.3,a.   Total number of incidents of non-compliance with regulations and/or voluntary codes concerning,"GRI 417: Marketing and, 417-2"
324,16.3,a.   Total number of incidents of non-compliance with regulations and/or voluntary codes concerning,"GRI 417: Marketing and, 417-3"
325,16.3,"a.   Total number of substantiated complaints received concerning breaches of customer privacy,","GRI 418: Customer, 418-1"
326,16.3,Significant fines and non-monetary sanctions for non-compliance with laws and/or regulations in the,"GRI 419: Socioeconomic, 419-1-a"
327,16.3,"product and service information and labeling, by:, 
i.  incidents of non-compliance with regulations resulting in a fine or penalty;, 
ii.   incidents of non-compliance with regulations resulting in a warning;, 
iii.   incidents of non-compliance with voluntary codes., 
b.   If the organization has not identified any non-compliance with regulations and/or voluntary codes, a, 
brief statement of this fact is sufficient.","Labeling 2016, 417-2"
328,16.3,"marketing communications, including advertising, promotion, and sponsorship, by:, 
i.  incidents of non-compliance with regulations resulting in a fine or penalty;, 
ii.  incidents of non-compliance with regulations resulting in a warning;, 
iii.  incidents of non-compliance with voluntary codes., 
b.   If the organization has not identified any non-compliance with regulations and/or voluntary codes, a, 
brief statement of this fact is sufficient.","Labeling 2016, 417-3"
329,16.3,"categorized by:, 
i.  complaints received from outside parties and substantiated by the organization;, 
ii.   complaints from regulatory bodies., 
b.   Total number of identified leaks, thefts, or losses of customer data., 
c.   If the organization has not identified any substantiated complaints, a brief statement of this fact is, 
sufficient.","Privacy 2016, 418-1"
330,16.3,"health and safety impacts of products and services within the reporting period, by:, 
i.   incidents of non-compliance with regulations resulting in a fine or penalty;, 
ii.   incidents of non-compliance with regulations resulting in a warning;, 
iii.  incidents of non-compliance with voluntary codes., 
b.   If the organization has not identified any non-compliance with regulations and/or voluntary codes, a, 
brief statement of this fact is sufficient.","and Safety 2016, 416-2"
331,16.5,b.   Significant risks related to corruption identified through the risk assessment.,"2016, 205-1"
332,16.5,"policies and procedures have been communicated to, broken down by region., 
b.   Total number and percentage of employees that the organization’s anti-corruption policies and, 
procedures have been communicated to, broken down by employee category and region., 
c.   Total number and percentage of business partners that the organization’s anti-corruption policies, 
and procedures have been communicated to, broken down by type of business partner and region., 
Describe if the organization’s anti-corruption policies and procedures have been communicated to, 
any other persons or organizations., 
d.   Total number and percentage of governance body members that have received training on anti-, 
corruption, broken down by region., 
e.   Total number and percentage of employees that have received training on anti-corruption, broken, 
down by employee category and region.","2016, 205-2"
333,16.5,"in which employees were dismissed or disciplined for corruption. c. Total number of confirmed, 
incidents when contracts with business partners were terminated or not renewed due to violations, 
related to corruption., 
d.   Public legal cases regarding corruption brought against the organization or its employees during the, 
reporting period and the outcomes of such cases.","2016, 205-3"
334,16.5,organization by country and recipient/beneficiary.,"2016, 415-1-a"
335,16.5,a.   Total number and percentage of operations assessed for risks related to corruption.,"GRI 205: Anti-corruption, 205-1"
336,16.5,a.   Total number and percentage of governance body members that the organization’s anti-corruption,"GRI 205: Anti-corruption, 205-2"
337,16.5,a.   Total number and nature of confirmed incidents of corruption. b. Total number of confirmed incidents,"GRI 205: Anti-corruption, 205-3"
338,16.5,Total monetary value of financial and in-kind political contributions made directly and indirectly by the,"GRI 415: Public Policy, 415-1-a"
339,16.6,"b.   If the chair is also an executive officer, describe his or her function within the organization’s, 
management and the reasons for this arrangement.","Disclosures 2016, 102-23"
340,16.6,"b.   Whether conflicts of interest are disclosed to stakeholders, including, as a minimum:, 
i.  Cross-board membership;, 
ii.   Cross-shareholding with suppliers and other stakeholders;, 
iii.   Existence of controlling shareholder;, 
iv.  Related party disclosures.","Disclosures 2016, 102-25"
341,16.6,a.   Whether the chair of the highest governance body is also an executive officer in the organization.,"GRI 102: General, 102-23"
342,16.6,a.   Processes for the highest governance body to ensure conflicts of interest are avoided and managed.,"GRI 102: General, 102-25"
343,16.7,"environmental, and social topics., 
b.   If consultation is delegated, describe to whom it is delegated and how the resulting feedback is, 
provided to the highest governance body.","Disclosures 2016, 102-21"
344,16.7,"i.  Executive or non-executive;, 
ii.   Independence;, 
iii.   Tenure on the governance body;, 
iv.  Number of each individual’s other significant positions and commitments, and the nature of the, 
commitments;, 
v.   Gender;, 
vi.   Membership of under-represented social groups;, 
vii.  Competencies relating to economic, environmental, and social topics;, 
viii.  Stakeholder representation.","Disclosures 2016, 102-22-a"
345,16.7,"b.   Criteria used for nominating and selecting highest governance body members, including whether, 
and how:, 
i.   stakeholders (including shareholders) are involved;, 
ii.  diversity is considered;, 
iii.  independence is considered;, 
iv.  expertise and experience relating to economic, environmental, and social topics are considered.","Disclosures 2016, 102-24"
346,16.7,"topics and their impacts, risks, and opportunities – including its role in the implementation of due, 
diligence processes., 
b.   Whether stakeholder consultation is used to support the highest governance body’s identification, 
and management of economic, environmental, and social topics and their impacts, risks, and, 
opportunities.","Disclosures 2016, 102-29"
347,16.7,"b.   If applicable, the results of votes on remuneration policies and proposals.","Disclosures 2016, 102-37"
348,16.7,"Stakeholder participation in decision making processes related to energy planning and infrastructure, 
development","G4 Sector Disclosure 2009, Former EU19"
349,16.7,"a.   Processes for consultation between stakeholders and the highest governance body on economic,","GRI 102: General, 102-21"
350,16.7,Composition of the highest governance body and its committees by:,"GRI 102: General, 102-22-a"
351,16.7,a.   Nomination and selection processes for the highest governance body and its committees.,"GRI 102: General, 102-24"
352,16.7,"a.   Highest governance body’s role in identifying and managing economic, environmental, and social","GRI 102: General, 102-29"
353,16.7,a.   How stakeholders’ views are sought and taken into account regarding remuneration.,"GRI 102: General, 102-37"
354,16.7,"A description of the processes for worker participation and consultation in the development,","GRI 403: Occupational, 403-4-a"
355,16.7,"Where formal joint management–worker health and safety committees exist, a description of their","GRI 403: Occupational, 403-4-b"
356,16.7,"implementation, and evaluation of the occupational health and safety management system, and for, 
providing access to and communicating relevant information on occupational health and safety to, 
workers.","Health and Safety 2018, 403-4-a"
357,16.7,"responsibilities, meeting frequency, decision-making authority, and whether and, if so, why any workers, 
are not represented by these committees.","Health and Safety 2018, 403-4-b"
358,17.1,"a.   A description of the approach to tax, including:, 
i.  whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;, 
ii.  the governance body or executive-level position within the organization that formally reviews, 
and approves the tax strategy, and the frequency of this review;, 
iii.  the approach to regulatory compliance;, 
iv.   how the approach to tax is linked to the business and sustainable development strategies of the, 
organization.","GRI 207: Tax 2019, 207-1"
359,17.1,"a.  A description of the tax governance and control framework, including:, 
i.   the governance body or executive-level position within the organization accountable for, 
compliance with the tax strategy;, 
ii.   how the approach to tax is embedded within the organization;, 
iii.  the approach to tax risks, including how risks are identified, managed, and monitored;, 
iv.   how compliance with the tax governance and control framework is evaluated., 
b.  A description of the mechanisms for reporting concerns about unethical or unlawful behavior and the, 
organization’s integrity in relation to tax., 
c.  A description of the assurance process for disclosures on tax and, if applicable, a reference to the, 
assurance report, statement, or opinion.","GRI 207: Tax 2019, 207-2"
360,17.1,"a.  A description of the approach to stakeholder engagement and management of stakeholder concerns, 
related to tax, including:, 
i.  the approach to engagement with tax authorities;, 
ii.   the approach to public policy advocacy on tax;, 
iii.   the processes for collecting and considering the views and concerns of stakeholders, including, 
external stakeholders.","GRI 207: Tax 2019, 207-3"
361,17.1,"a.  All tax jurisdictions where the entities included in the organization’s audited consolidated financial, 
statements, or in the financial information filed on public record, are resident for tax purposes., 
b.   For each tax jurisdiction reported in Disclosure 207-4-a:, 
i.  Names of the resident entities;, 
ii.  Primary activities of the organization;, 
iii.  Number of employees, and the basis of calculation of this number;, 
iv.   Revenues from third-party sales;, 
v.  Revenues from intra-group transactions with other tax jurisdictions;, 
vi.   Profit/loss before tax;, 
vii.  Tangible assets other than cash and cash equivalents;, 
viii.Corporate income tax paid on a cash basis;, 
ix.   Corporate income tax accrued on profit/loss;, 
x.   Reasons for the difference between corporate income tax accrued on profit/loss and the tax due, 
if the statutory tax rate is applied to profit/loss before tax., 
c.   The time period covered by the information reported in Disclosure 207-4","GRI 207: Tax 2019, 207-4"
362,17.3,"a.   A description of the approach to tax, including:, 
i.  whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;, 
ii.   the governance body or executive-level position within the organization that formally reviews, 
and approves the tax strategy, and the frequency of this review;, 
iii.  the approach to regulatory compliance;, 
iv.  how the approach to tax is linked to the business and sustainable development strategies of the, 
organization.","GRI 207: Tax 2019, 207-1"
363,17.3,"a.   A description of the tax governance and control framework, including:, 
i.  the governance body or executive-level position within the organization accountable for, 
compliance with the tax strategy;, 
ii.   how the approach to tax is embedded within the organization;, 
iii.  the approach to tax risks, including how risks are identified, managed, and monitored;, 
iv.   how compliance with the tax governance and control framework is evaluated., 
b.   A description of the mechanisms for reporting concerns about unethical or unlawful behavior and the, 
organization’s integrity in relation to tax., 
c.   A description of the assurance process for disclosures on tax and, if applicable, a reference to the, 
assurance report, statement, or opinion.","GRI 207: Tax 2019, 207-2"
364,17.3,"a.   A description of the approach to stakeholder engagement and management of stakeholder, 
concerns related to tax, including:, 
i.  the approach to engagement with tax authorities;, 
ii.   the approach to public policy advocacy on tax;, 
iii.  the processes for collecting and considering the views and concerns of stakeholders, including, 
external stakeholders.","GRI 207: Tax 2019, 207-3"
365,17.3,"a.   All tax jurisdictions where the entities included in the organization’s audited consolidated financial, 
statements, or in the financial information filed on public record, are resident for tax purposes., 
b.  For each tax jurisdiction reported in Disclosure 207-4-a:, 
i.  Names of the resident entities;, 
ii.  Primary activities of the organization;, 
iii.   Number of employees, and the basis of calculation of this number;, 
iv.  Revenues from third-party sales;, 
v.  Revenues from intra-group transactions with other tax jurisdictions;, 
vi.  Profit/loss before tax;, 
vii.  Tangible assets other than cash and cash equivalents;, 
viii.Corporate income tax paid on a cash basis;, 
ix.  Corporate income tax accrued on profit/loss;, 
x.  Reasons for the difference between corporate income tax accrued on profit/loss and the tax due, 
if the statutory tax rate is applied to profit/loss before tax., 
c.  The time period covered by the information reported in Disclosure 207-4","GRI 207: Tax 2019, 207-4"
366,17.7,"Research and development activity and expenditure aimed at providing reliable electricity and promoting, 
sustainable development","G4 Sector Disclosure 2009, Former EU8"
367,17.7,Programs and progress relating to materials stewardship,"G4 Sector Disclosure 2010, Former"
368,17.7,Programs and progress relating to materials stewardship,"G4 Sector Disclosure 2010, MM11"
369,17.7,"Number, type and impact of physical and technological legacies","G4 Sector Disclosure 2012, EO13"
370,17.7,Total amount invested in renewable energy,"G4 Sector Disclosure 2012, OG2"
371,2.1,"Percentage of production volume manufactured in sites certified by an independent third party according, 
to internationally recognized food safety management system standards","G4 Sector Disclosure 2008, FP5"
372,2.1,"Policies and practices on antibiotic, anti-inflammatory, hormone, and/or growth promotion treatments, by, 
species and breed type","G4 Sector Disclosure 2010, FP12"
373,2.1,"Policies and practices on communication to consumers about ingredients and nutritional information, 
beyond legal requirements","G4 Sector Disclosure 2010, Former FP8"
374,2.2,"Percentage of total sales volume of consumer products, by product category, that are lowered in, 
saturated fat, trans fats, sodium and added sugars","G4 Sector Disclosure 2010, FP6"
375,2.2,"Percentage of total sales volume of consumer products, by product category, that contain increased, 
nutritious ingredients like fiber, vitamins, minerals, phytochemicals or functional food additives","G4 Sector Disclosure 2010, FP7"
376,2.2,"Nature, scope and effectiveness of any programs and practices (in-kind contributions, volunteer, 
initiatives, knowledge transfer, partnerships and product development) that promote access to healthy, 
lifestyles; the prevention of chronic disease; access to healthy, nutritious and affordable food; and, 
improved welfare for communities in need","G4 Sector Disclosure 2010, Former FP4"
377,2.3,"i. The location of the operations;, 
ii.  The significant actual and potential negative impacts of operations","Communities 2016, 413-2-a"
378,2.3,"Number of people physically or economically displaced and compensation, broken down by type of, 
project","G4 Sector Disclosure 2009, EU22"
379,2.3,Approach to managing the impacts of displacement,"G4 Sector Disclosure 2009, Former EU20"
380,2.3,"Stakeholder participation in decision making processes related to energy planning and infrastructure, 
development","G4 Sector Disclosure 2009, former EU19"
381,2.3,"Total number of operations taking place in or adjacent to indigenous peoples’ territories, and number, 
and percentage of operations or sites where there are formal agreements with indigenous peoples’, 
communities","G4 Sector Disclosure 2010, MM5"
382,2.3,"Number and description of significant disputes relating to land use, customary rights of local, 
communities and indigenous peoples","G4 Sector Disclosure 2010, MM6"
383,2.3,"The extent to which grievance mechanisms were used to resolve disputes relating to land use,, 
customary rights of local communities and indigenous peoples, and the outcomes","G4 Sector Disclosure 2010, MM7"
384,2.3,"Number (and percentage) of company operating sites where artisanal and small-scale mining (asm), 
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and, 
mitigate these risks","G4 Sector Disclosure 2010, MM8"
385,2.3,"Sites where resettlements took place, the number of households resettled in each, and how their, 
livelihoods were affected in the process","G4 Sector Disclosure 2010, MM9"
386,2.3,"Number of sites that have been decommissioned and sites that are in the process of being, 
decommissioned","G4 Sector Disclosure 2010, OG11"
387,2.3,"Operations where involuntary resettlement took place, the number of households resettled in each and, 
how their livelihoods were affected in the process","G4 Sector Disclosure 2010, OG12"
388,2.3,"Number of persons physically or economically displaced, either voluntarily or involuntarily, by the airport, 
operator or on its behalf by a governmental or other entity, and compensation provided","G4 Sector Disclosure 2011, AO8"
389,2.3,"Number of persons voluntarily and involuntarily displaced and/or resettled by development, broken down, 
by projec","G4 Sector Disclosure 2011, CRE7"
390,2.3,Number and description of significant disputes with local communities and indigenous peoples,"G4 Sector Disclosure 2012, OG10"
391,2.3,Volume of biofuels produced and purchased meeting sustainability criteria,"G4 Sector Disclosure 2012, OG14"
392,2.3,"Operations where indigenous communities are present or affected by activities and where specific, 
engagement strategies are in place","G4 Sector Disclosure 2012, OG9"
393,2.3,a.   Total number of identified incidents of violations involving the rights of indigenous peoples during the,"GRI 411: Rights of, 411-1"
394,2.3,"Operations with significant actual and potential negative impacts on local communities, including:","GRI 413: Local, 413-2-a"
395,2.3,"reporting period., 
b.   Status of the incidents and actions taken with reference to the following: i. Incident reviewed by the, 
organization;, 
ii.   Remediation plans being implemented;, 
iii.  Remediation plans that have been implemented, with results reviewed through routine internal, 
management review processes;, 
iv.  Incident no longer subject to action.","Indigenous Peoples 2016, 411-1"
396,2.4,"Percentage of purchased volume which is verified as being in accordance with credible, internationally, 
recognized responsible production standards, broken down by standard","G4 Sector Disclosure 2010, FP2"
397,2.4,Volume of biofuels produced and purchased meeting sustainability criteria,"G4 Sector Disclosure 2012, OG14"
398,2.5,"Percentage and total of animals raised and/or processed, by species and breed type","G4 Sector Disclosure 2010, FP9"
399,3.2,"to temporary or part-time employees, by significant locations of operation. These include, as a, 
minimum:, 
i.  life insurance;, 
ii.   health care;, 
iii.  disability and invalidity coverage; iv. parental leave;, 
v.  retirement provision;, 
vi.   stock ownership;, 
vii.  others., 
b.  The definition used for ‘significant locations of operation’.","2016, 401-2-a"
400,3.2,"Nature, scope and effectiveness of any programs and practices (in-kind contributions, volunteer, 
initiatives, knowledge transfer, partnerships and product development) that promote access to healthy, 
lifestyles; the prevention of chronic disease; access to healthy, nutritious and affordable food; and, 
improved welfare for communities in need","G4 Sector Disclosure 2010, former FP4"
401,3.2,a.  Benefits which are standard for full-time employees of the organization but are not provided,"GRI 401: Employment, 401-2-a"
402,3.3,a.   For all employees:,"GRI 403: Occupational, 403-10"
403,3.3,A description of any voluntary health promotion services and programs offered to workers to address,"GRI 403: Occupational, 403-6-b"
404,3.3,"i.   The number of fatalities as a result of work-related ill health;, 
ii.  The number of cases of recordable work-related ill health;, 
iii.   The main types of work-related ill health., 
b.  For all workers who are not employees but whose work and/or workplace is controlled by the, 
organization:, 
i.  The number of fatalities as a result of work-related ill health;, 
ii.  The number of cases of recordable work-related ill health;, 
iii.  The main types of work-related ill health., 
c.  The work-related hazards that pose a risk of ill health, including:, 
i.   how these hazards have been determined;, 
ii.  which of these hazards have caused or contributed to cases of ill health during the reporting, 
period;, 
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of, 
controls., 
d.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
e.   Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.","Health and Safety 2018, 403-10"
405,3.3,"major non-work-related health risks, including the specific health risks addressed, and how the, 
organization facilitates workers’ access to these services and programs.","Health and Safety 2018, 403-6-b"
406,3.4,a.  For all employees:,"GRI 403: Occupational, 403-10"
407,3.4,"i.  The number of fatalities as a result of work-related ill health;, 
ii.  The number of cases of recordable work-related ill health;, 
iii.  The main types of work-related ill health., 
b.   For all workers who are not employees but whose work and/or workplace is controlled by the, 
organization:, 
i.  The number of fatalities as a result of work-related ill health;, 
ii.  The number of cases of recordable work-related ill health;, 
iii.  The main types of work-related ill health., 
c.  The work-related hazards that pose a risk of ill health, including:, 
i.  how these hazards have been determined;, 
ii.   which of these hazards have caused or contributed to cases of ill health during the reporting, 
period;, 
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of, 
controls., 
d.   Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
e.   Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.","Health and Safety 2018, 403-10"
408,3.5,"Actions taken to improve performance in relation to content dissemination issues (accessibility and, 
protection of vulnerable audiences and informed decision making) and results obtained","G4 Sector Disclosure 2012, M4"
409,3.5,"Number and nature of responses (feedback/complaints) related to content dissemination, including, 
protection of vulnerable audiences and informed decision making and accessibility, and processes for, 
addressing these responses","G4 Sector Disclosure 2012, M5"
410,3.5,A description of any voluntary health promotion services and programs offered to workers to address,"GRI 403: Occupational, 403-6-b"
411,3.5,"major non-work-related health risks, including the specific health risks addressed, and how the, 
organization facilitates workers’ access to these services and programs.","Health and Safety 2018, 403-6-b"
412,3.6,Report the information for all employees about:,"GRI 403: Occupational, 403-9-a"
413,3.6,Report the information for all workers who are not employees but whose work and/or workplace is,"GRI 403: Occupational, 403-9-b"
414,3.6,"The work-related hazards that pose a risk of high-consequence injury, including:","GRI 403: Occupational, 403-9-c"
415,3.6,"i.  The number and rate of fatalities as a result of work-related injury;, 
ii.  The number and rate of high-consequence work-related injuries (excluding fatalities);, 
iii.  The number and rate of recordable work-related injuries;, 
iv.  The main types of work-related injury;, 
v.  The number of hours worked., 
Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.","Health and Safety 2018, 403-9-a"
416,3.6,"controlled by the organization:, 
i.  The number and rate of fatalities as a result of work-related injury;, 
ii.  The number and rate of high-consequence work-related injuries (excluding fatalities);, 
iii.  The number and rate of recordable work-related injuries;, 
iv.  The main types of work-related injury;, 
v.   The number of hours worked., 
Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.","Health and Safety 2018, 403-9-b"
417,3.6,"i.  how these hazards have been determined;, 
ii.  which of these hazards have caused or contributed to high-consequence injuries during the, 
reporting period;, 
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of, 
controls., 
Any actions taken or underway to eliminate other work-related hazards and minimize risks using the, 
hierarchy of controls.","Health and Safety 2018, 403-9-c"
418,3.7,An explanation of how the organization facilitates workers’ access to non-occupational medical and,"GRI 403: Occupational, 403-6-a"
419,3.7,A description of any voluntary health promotion services and programs offered to workers to address,"GRI 403: Occupational, 403-6-b"
420,3.7,"healthcare services, and the scope of access provided.","Health and Safety 2018, 403-6-a"
421,3.7,"major non-work-related health risks, including the specific health risks addressed, and how the, 
organization facilitates workers’ access to these services and programs.","Health and Safety 2018, 403-6-b"
422,3.8,"and negative impacts., 
b.   Significance of the indirect economic impacts in the context of external benchmarks and stakeholder, 
priorities, such as national and international standards, protocols, and policy agendas.","Economic Impacts 2016, 203-2"
423,3.8,"a.   Examples of significant identified indirect economic impacts of the organization, including positive","GRI 203: Indirect, 203-2"
424,3.8,An explanation of how the organization facilitates workers’ access to non-occupational medical and,"GRI 403: Occupational, 403-6-a"
425,3.8,"healthcare services, and the scope of access provided.","Health and Safety 2018, 403-6-a"
426,3.9,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated","G4 Sector Disclosure 2010, MM1"
427,3.9,"Total amounts of overburden, rock, tailings, and sludges and their associated risks","G4 Sector Disclosure 2010, MM3"
428,3.9,"Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM), 
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and, 
mitigate these risks","G4 Sector Disclosure 2010, MM8"
429,3.9,Quality of storm water by applicable regulatory standards,"G4 Sector Disclosure 2011, AO4"
430,3.9,"Ambient air quality levels according to pollutant concentrations in microgram per cubic meter (μg/m3) or, 
parts per million (ppm) by regulatory regime","G4 Sector Disclosure 2011, AO5"
431,3.9,Aircraft and pavement de-icing/anti-icing fluid used and treated by m3 and/or metric tonnes,"G4 Sector Disclosure 2011, AO6"
432,3.9,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations","G4 Sector Disclosure 2011, CRE5"
433,3.9,"Number of process safety events, by business activity","G4 Sector Disclosure 2012, OG13"
434,3.9,Volume and disposal of formation or produced water,"G4 Sector Disclosure 2012, OG5"
435,3.9,Volume of flared and vented hydrocarbon,"G4 Sector Disclosure 2012, OG6"
436,3.9,Amount of drilling waste (drill mud and cuttings) and strategies for treatment and disposal,"G4 Sector Disclosure 2012, OG7"
437,3.9,"Benzene, lead and sulfur content in fuels","G4 Sector Disclosure 2012, OG8"
438,3.9,"a.  Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent., 
b.  Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all., 
c.  Biogenic CO2 emissions in metric tons of CO2 equivalent","GRI 305: Emissions 2016, 305-1"
