,Target,Available Business Disclosures,Disclosure
304,16.7,"Where formal joint management–worker health and safety committees exist, a description of their, 
responsibilities, meeting frequency, decision-making authority, and whether and, if so, why any workers, 
are not represented by these committees.",403-4-b
305,16.7,"Stakeholder participation in decision making processes related to energy planning and infrastructure, 
development",Former EU19
306,17.1,"a.   A description of the approach to tax, including:, 
i.  whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;, 
ii.  the governance body or executive-level position within the organization that formally reviews, 
and approves the tax strategy, and the frequency of this review;, 
iii.  the approach to regulatory compliance;, 
iv.   how the approach to tax is linked to the business and sustainable development strategies of the, 
organization.",207-1
307,17.1,"a.  A description of the tax governance and control framework, including:, 
i.   the governance body or executive-level position within the organization accountable for, 
compliance with the tax strategy;, 
ii.   how the approach to tax is embedded within the organization;, 
iii.  the approach to tax risks, including how risks are identified, managed, and monitored;, 
iv.   how compliance with the tax governance and control framework is evaluated., 
b.  A description of the mechanisms for reporting concerns about unethical or unlawful behavior and the, 
organization’s integrity in relation to tax., 
c.  A description of the assurance process for disclosures on tax and, if applicable, a reference to the, 
assurance report, statement, or opinion.",207-2
308,17.1,"a.  A description of the approach to stakeholder engagement and management of stakeholder concerns, 
related to tax, including:, 
i.  the approach to engagement with tax authorities;, 
ii.   the approach to public policy advocacy on tax;, 
iii.   the processes for collecting and considering the views and concerns of stakeholders, including, 
external stakeholders.",207-3
309,17.1,"a.  All tax jurisdictions where the entities included in the organization’s audited consolidated financial, 
statements, or in the financial information filed on public record, are resident for tax purposes., 
b.   For each tax jurisdiction reported in Disclosure 207-4-a:, 
i.  Names of the resident entities;, 
ii.  Primary activities of the organization;, 
iii.  Number of employees, and the basis of calculation of this number;, 
iv.   Revenues from third-party sales;, 
v.  Revenues from intra-group transactions with other tax jurisdictions;, 
vi.   Profit/loss before tax;, 
vii.  Tangible assets other than cash and cash equivalents;, 
viii.Corporate income tax paid on a cash basis;, 
ix.   Corporate income tax accrued on profit/loss;, 
x.   Reasons for the difference between corporate income tax accrued on profit/loss and the tax due, 
if the statutory tax rate is applied to profit/loss before tax., 
c.   The time period covered by the information reported in Disclosure 207-4",207-4
310,17.3,"a.   A description of the approach to tax, including:, 
i.  whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;, 
ii.   the governance body or executive-level position within the organization that formally reviews, 
and approves the tax strategy, and the frequency of this review;, 
iii.  the approach to regulatory compliance;, 
iv.  how the approach to tax is linked to the business and sustainable development strategies of the, 
organization.",207-1
311,17.3,"a.   A description of the tax governance and control framework, including:, 
i.  the governance body or executive-level position within the organization accountable for, 
compliance with the tax strategy;, 
ii.   how the approach to tax is embedded within the organization;, 
iii.  the approach to tax risks, including how risks are identified, managed, and monitored;, 
iv.   how compliance with the tax governance and control framework is evaluated., 
b.   A description of the mechanisms for reporting concerns about unethical or unlawful behavior and the, 
organization’s integrity in relation to tax., 
c.   A description of the assurance process for disclosures on tax and, if applicable, a reference to the, 
assurance report, statement, or opinion.",207-2
312,17.3,"a.   A description of the approach to stakeholder engagement and management of stakeholder, 
concerns related to tax, including:, 
i.  the approach to engagement with tax authorities;, 
ii.   the approach to public policy advocacy on tax;, 
iii.  the processes for collecting and considering the views and concerns of stakeholders, including, 
external stakeholders.",207-3
313,17.3,"a.   All tax jurisdictions where the entities included in the organization’s audited consolidated financial, 
statements, or in the financial information filed on public record, are resident for tax purposes., 
b.  For each tax jurisdiction reported in Disclosure 207-4-a:, 
i.  Names of the resident entities;, 
ii.  Primary activities of the organization;, 
iii.   Number of employees, and the basis of calculation of this number;, 
iv.  Revenues from third-party sales;, 
v.  Revenues from intra-group transactions with other tax jurisdictions;, 
vi.  Profit/loss before tax;, 
vii.  Tangible assets other than cash and cash equivalents;, 
viii.Corporate income tax paid on a cash basis;, 
ix.  Corporate income tax accrued on profit/loss;, 
x.  Reasons for the difference between corporate income tax accrued on profit/loss and the tax due, 
if the statutory tax rate is applied to profit/loss before tax., 
c.  The time period covered by the information reported in Disclosure 207-4",207-4
314,17.7,"Number, type and impact of physical and technological legacies",EO13
315,17.7,Programs and progress relating to materials stewardship,Former
316,17.7,"Research and development activity and expenditure aimed at providing reliable electricity and promoting, 
sustainable development",Former EU8
317,17.7,Programs and progress relating to materials stewardship,MM11
318,17.7,Total amount invested in renewable energy,OG2
319,2.1,"Policies and practices on antibiotic, anti-inflammatory, hormone, and/or growth promotion treatments, by, 
species and breed type",FP12
320,2.1,"Percentage of production volume manufactured in sites certified by an independent third party according, 
to internationally recognized food safety management system standards",FP5
321,2.1,"Policies and practices on communication to consumers about ingredients and nutritional information, 
beyond legal requirements",Former FP8
322,2.2,"Percentage of total sales volume of consumer products, by product category, that are lowered in, 
saturated fat, trans fats, sodium and added sugars",FP6
323,2.2,"Percentage of total sales volume of consumer products, by product category, that contain increased, 
nutritious ingredients like fiber, vitamins, minerals, phytochemicals or functional food additives",FP7
324,2.2,"Nature, scope and effectiveness of any programs and practices (in-kind contributions, volunteer, 
initiatives, knowledge transfer, partnerships and product development) that promote access to healthy, 
lifestyles; the prevention of chronic disease; access to healthy, nutritious and affordable food; and, 
improved welfare for communities in need",Former FP4
325,2.3,"a.   Total number of identified incidents of violations involving the rights of indigenous peoples during the, 
reporting period., 
b.   Status of the incidents and actions taken with reference to the following: i. Incident reviewed by the, 
organization;, 
ii.   Remediation plans being implemented;, 
iii.  Remediation plans that have been implemented, with results reviewed through routine internal, 
management review processes;, 
iv.  Incident no longer subject to action.",411-1
326,2.3,"Operations with significant actual and potential negative impacts on local communities, including:, 
i. The location of the operations;, 
ii.  The significant actual and potential negative impacts of operations",413-2-a
327,2.3,"Number of persons physically or economically displaced, either voluntarily or involuntarily, by the airport, 
operator or on its behalf by a governmental or other entity, and compensation provided",AO8
328,2.3,"Number of persons voluntarily and involuntarily displaced and/or resettled by development, broken down, 
by projec",CRE7
329,2.3,"Number of people physically or economically displaced and compensation, broken down by type of, 
project",EU22
330,2.3,Approach to managing the impacts of displacement,Former EU20
331,2.3,"Total number of operations taking place in or adjacent to indigenous peoples’ territories, and number, 
and percentage of operations or sites where there are formal agreements with indigenous peoples’, 
communities",MM5
332,2.3,"Number and description of significant disputes relating to land use, customary rights of local, 
communities and indigenous peoples",MM6
333,2.3,"The extent to which grievance mechanisms were used to resolve disputes relating to land use,, 
customary rights of local communities and indigenous peoples, and the outcomes",MM7
334,2.3,"Number (and percentage) of company operating sites where artisanal and small-scale mining (asm), 
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and, 
mitigate these risks",MM8
335,2.3,"Sites where resettlements took place, the number of households resettled in each, and how their, 
livelihoods were affected in the process",MM9
336,2.3,Number and description of significant disputes with local communities and indigenous peoples,OG10
337,2.3,"Number of sites that have been decommissioned and sites that are in the process of being, 
decommissioned",OG11
338,2.3,"Operations where involuntary resettlement took place, the number of households resettled in each and, 
how their livelihoods were affected in the process",OG12
339,2.3,Volume of biofuels produced and purchased meeting sustainability criteria,OG14
340,2.3,"Operations where indigenous communities are present or affected by activities and where specific, 
engagement strategies are in place",OG9
341,2.3,"Stakeholder participation in decision making processes related to energy planning and infrastructure, 
development",former EU19
342,2.4,"Percentage of purchased volume which is verified as being in accordance with credible, internationally, 
recognized responsible production standards, broken down by standard",FP2
343,2.4,Volume of biofuels produced and purchased meeting sustainability criteria,OG14
344,2.5,"Percentage and total of animals raised and/or processed, by species and breed type",FP9
345,3.2,"a.  Benefits which are standard for full-time employees of the organization but are not provided, 
to temporary or part-time employees, by significant locations of operation. These include, as a, 
minimum:, 
i.  life insurance;, 
ii.   health care;, 
iii.  disability and invalidity coverage; iv. parental leave;, 
v.  retirement provision;, 
vi.   stock ownership;, 
vii.  others., 
b.  The definition used for ‘significant locations of operation’.",401-2-a
346,3.2,"Nature, scope and effectiveness of any programs and practices (in-kind contributions, volunteer, 
initiatives, knowledge transfer, partnerships and product development) that promote access to healthy, 
lifestyles; the prevention of chronic disease; access to healthy, nutritious and affordable food; and, 
improved welfare for communities in need",former FP4
347,3.3,"a.   For all employees:, 
i.   The number of fatalities as a result of work-related ill health;, 
ii.  The number of cases of recordable work-related ill health;, 
iii.   The main types of work-related ill health., 
b.  For all workers who are not employees but whose work and/or workplace is controlled by the, 
organization:, 
i.  The number of fatalities as a result of work-related ill health;, 
ii.  The number of cases of recordable work-related ill health;, 
iii.  The main types of work-related ill health., 
c.  The work-related hazards that pose a risk of ill health, including:, 
i.   how these hazards have been determined;, 
ii.  which of these hazards have caused or contributed to cases of ill health during the reporting, 
period;, 
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of, 
controls., 
d.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
e.   Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.",403-10
348,3.3,"A description of any voluntary health promotion services and programs offered to workers to address, 
major non-work-related health risks, including the specific health risks addressed, and how the, 
organization facilitates workers’ access to these services and programs.",403-6-b
349,3.4,"a.  For all employees:, 
i.  The number of fatalities as a result of work-related ill health;, 
ii.  The number of cases of recordable work-related ill health;, 
iii.  The main types of work-related ill health., 
b.   For all workers who are not employees but whose work and/or workplace is controlled by the, 
organization:, 
i.  The number of fatalities as a result of work-related ill health;, 
ii.  The number of cases of recordable work-related ill health;, 
iii.  The main types of work-related ill health., 
c.  The work-related hazards that pose a risk of ill health, including:, 
i.  how these hazards have been determined;, 
ii.   which of these hazards have caused or contributed to cases of ill health during the reporting, 
period;, 
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of, 
controls., 
d.   Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
e.   Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.",403-10
350,3.5,"A description of any voluntary health promotion services and programs offered to workers to address, 
major non-work-related health risks, including the specific health risks addressed, and how the, 
organization facilitates workers’ access to these services and programs.",403-6-b
351,3.5,"Actions taken to improve performance in relation to content dissemination issues (accessibility and, 
protection of vulnerable audiences and informed decision making) and results obtained",M4
352,3.5,"Number and nature of responses (feedback/complaints) related to content dissemination, including, 
protection of vulnerable audiences and informed decision making and accessibility, and processes for, 
addressing these responses",M5
353,3.6,"Report the information for all employees about:, 
i.  The number and rate of fatalities as a result of work-related injury;, 
ii.  The number and rate of high-consequence work-related injuries (excluding fatalities);, 
iii.  The number and rate of recordable work-related injuries;, 
iv.  The main types of work-related injury;, 
v.  The number of hours worked., 
Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.",403-9-a
354,3.6,"Report the information for all workers who are not employees but whose work and/or workplace is, 
controlled by the organization:, 
i.  The number and rate of fatalities as a result of work-related injury;, 
ii.  The number and rate of high-consequence work-related injuries (excluding fatalities);, 
iii.  The number and rate of recordable work-related injuries;, 
iv.  The main types of work-related injury;, 
v.   The number of hours worked., 
Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.",403-9-b
355,3.6,"The work-related hazards that pose a risk of high-consequence injury, including:, 
i.  how these hazards have been determined;, 
ii.  which of these hazards have caused or contributed to high-consequence injuries during the, 
reporting period;, 
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of, 
controls., 
Any actions taken or underway to eliminate other work-related hazards and minimize risks using the, 
hierarchy of controls.",403-9-c
356,3.7,"An explanation of how the organization facilitates workers’ access to non-occupational medical and, 
healthcare services, and the scope of access provided.",403-6-a
357,3.7,"A description of any voluntary health promotion services and programs offered to workers to address, 
major non-work-related health risks, including the specific health risks addressed, and how the, 
organization facilitates workers’ access to these services and programs.",403-6-b
358,3.8,"a.   Examples of significant identified indirect economic impacts of the organization, including positive, 
and negative impacts., 
b.   Significance of the indirect economic impacts in the context of external benchmarks and stakeholder, 
priorities, such as national and international standards, protocols, and policy agendas.",203-2
359,3.8,"An explanation of how the organization facilitates workers’ access to non-occupational medical and, 
healthcare services, and the scope of access provided.",403-6-a
360,3.9,"a.  Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent., 
b.  Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all., 
c.  Biogenic CO2 emissions in metric tons of CO2 equivalent",305-1
361,3.9,"a.  Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent, 
b.   If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2, 
equivalent., 
c.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,, 
or al",305-2
362,3.9,"a.   Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent., 
b.   If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,, 
or all., 
c.  Biogenic CO2 emissions in metric tons of CO2 equivalent., 
d.  Other indirect (Scope 3) GHG emissions categories and activities included in the calculation",305-3
363,3.9,"Production, imports, and exports of ODS in metric tons of CFC-11 (trichlorofluoromethane) equivalent",305-6-a
364,3.9,"a.   Significant air emissions, in kilograms or multiples, for each of the following:, 
i.  NOX, 
ii.  SOX, 
iii.  Persistent organic pollutants (POP), 
iv.  Volatile organic compounds (VOC), 
v.  Hazardous air pollutants (HAP), 
vi.  Particulate matter (PM), 
vii.  Other standard categories of air emissions identified in relevant regulations, 
b.  Source of the emission factors used., 
c.  Standards, methodologies, assumptions, and/or calculation tools used.",305-7
365,3.9,"a.  For the organization’s significant actual and potential waste-related impacts, a description of:, 
i.  the inputs, activities, and outputs that lead or could lead to these impacts;, 
ii.   whether these impacts relate to waste generated in the organization’s own activities or to waste, 
generated upstream or downstream in its value chain.""",306-1
366,3.9,"Total weight of hazardous waste, with a breakdown by the following disposal methods where applicable:, 
i.  Reuse, 
ii.  Recycling, 
iii.  Composting, 
iv.  Recovery, including energy recovery, 
v.  Incineration (mass burn), 
vi.  Deep well injection, 
vii.  Landfill, 
viii.  On-site storage, 
iv.  Other (to be specified by the organization), 
Actions, including circularity measures, taken to prevent waste generation in the organization’s own, 
activities and upstream and downstream in its value chain, and to manage significant impacts from, 
waste generated.",306-2-a
367,3.9,"Total weight of non-hazardous waste, with a breakdown by the following disposal methods where, 
applicable:, 
i.  Reuse, 
ii.  Recycling, 
iii.  Composting, 
iv.  Recovery, including energy recovery, 
v.  Incineration (mass burn), 
vi.  Deep well injection, 
vii.  Landfill, 
viii.  On-site storage, 
iv.  Other (to be specified by the organization), 
If the waste generated by the organization in its own activities is managed by a third party, a description, 
of the processes used to determine whether the third party manages the waste in line with contractual or, 
legislative obligations.",306-2-b
368,3.9,The processes used to collect and monitor waste-related data.,306-2-c
369,3.9,"Total number and total volume of recorded significant spills, 
Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition, 
of the waste.",306-3-a
370,3.9,"The following additional information for each spill that was reported in the organization’s financial, 
statements:, 
i.  Location of spill;, 
ii.  Volume of spill;, 
iii.   Material of spill, categorized by: oil spills (soil or water surfaces), fuel spills (soil or water, 
surfaces), spills of wastes (soil or water surfaces), spills of chemicals (mostly soil or water, 
surfaces), and other (to be specified by the organization)",306-3-b
371,3.9,Impacts of significant spills,306-3-c
372,3.9,"Total weight for each of the following:, 
i.  Hazardous waste transported, 
ii.  Hazardous waste imported, 
iii.  Hazardous waste exported, 
iv. Hazardous waste treated, 
Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition, 
of the waste.",306-4-a
373,3.9,"Percentage of hazardous waste shipped internationally, 
Total weight of hazardous waste diverted from disposal in metric tons, and a breakdown of this total by, 
the following recovery operations:, 
i.  Preparation for reuse;, 
ii.  Recycling;, 
iii.  Other recovery operations.",306-4-b
374,3.9,"Total weight of non-hazardous waste diverted from disposal in metric tons, and a breakdown of this total, 
by the following recovery operations:, 
i.  Preparation for reuse;, 
ii.  Recycling;, 
iii.  Other recovery operations.",306-4-c
375,3.9,"A breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste diverted, 
from disposal:, 
i.  onsite;, 
ii.  offsite.",306-4-d
376,3.9,"Total weight of waste directed to disposal in metric tons, and a breakdown of this total by composition of, 
the waste.",306-5-a
377,3.9,"Total weight of hazardous waste directed to disposal in metric tons, and a breakdown of this total by the, 
following disposal operations:, 
i.  Incineration (with energy recovery);, 
ii.  Incineration (without energy recovery);, 
iii.  Landfilling;, 
iv.  Other disposal operations.",306-5-b
378,3.9,"Total weight of non-hazardous waste directed to disposal in metric tons, and a breakdown of this total by, 
the following disposal operations:, 
i.  Incineration (with energy recovery);, 
ii.  Incineration (without energy recovery);, 
iii.  Landfilling;, 
iv.  Other disposal operations.",306-5-c
379,3.9,"For each disposal operation listed in Disclosures 306-5-b and 306-5-c, a breakdown of the total weight in, 
metric tons of hazardous waste and of non-hazardous waste directed to disposal:, 
i.  onsite;, 
ii.  offsite.",306-5-d
380,3.9,"a.   For all employees:, 
i.  The number of fatalities as a result of work-related ill health;, 
ii.   The number of cases of recordable work-related ill health;, 
iii.  The main types of work-related ill health., 
b.  For all workers who are not employees but whose work and/or workplace is controlled by the, 
organization:, 
i.   The number of fatalities as a result of work-related ill health;, 
ii.  The number of cases of recordable work-related ill health;, 
iii.   The main types of work-related ill health., 
c.  The work-related hazards that pose a risk of ill health, including:, 
i.  how these hazards have been determined;, 
ii.  which of these hazards have caused or contributed to cases of ill health during the reporting, 
period;, 
iii.   actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of, 
controls., 
d.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
e.   Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.",403-10
381,3.9,"Report the information for all workers who are not employees but whose work and/or workplace is, 
controlled by the organization:, 
i.  The number and rate of fatalities as a result of work-related injury;, 
ii.  The number and rate of high-consequence work-related injuries (excluding fatalities);, 
iii.  The number and rate of recordable work-related injuries;, 
iv.  The main types of work-related injury;, 
v.  The number of hours worked., 
Whether and, if so, why any workers have been excluded from this disclosure, including the types of, 
worker excluded., 
Any contextual information necessary to understand how the data have been compiled, such as any, 
standards, methodologies, and assumptions used.",403-9-b
382,3.9,"The work-related hazards that pose a risk of high-consequence injury, including:, 
i.  how these hazards have been determined;, 
ii.  which of these hazards have caused or contributed to high-consequence injuries during the, 
reporting period;, 
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of, 
controls., 
Any actions taken or underway to eliminate other work-related hazards and minimize risks using the, 
hierarchy of controls.",403-9-c
383,3.9,Quality of storm water by applicable regulatory standards,AO4
384,3.9,"Ambient air quality levels according to pollutant concentrations in microgram per cubic meter (μg/m3) or, 
parts per million (ppm) by regulatory regime",AO5
385,3.9,Aircraft and pavement de-icing/anti-icing fluid used and treated by m3 and/or metric tonnes,AO6
386,3.9,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations",CRE5
387,3.9,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated",MM1
388,3.9,"Total amounts of overburden, rock, tailings, and sludges and their associated risks",MM3
389,3.9,"Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM), 
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and, 
mitigate these risks",MM8
390,3.9,"Number of process safety events, by business activity",OG13
391,3.9,Volume and disposal of formation or produced water,OG5
392,3.9,Volume of flared and vented hydrocarbon,OG6
393,3.9,Amount of drilling waste (drill mud and cuttings) and strategies for treatment and disposal,OG7
394,3.9,"Benzene, lead and sulfur content in fuels",OG8
395,4.3,"Average hours of training that the organization’s employees have undertaken during the reporting, 
period, by:, 
i.  Gender;, 
ii.  Employee category",404-1-a
396,4.4,"Average hours of training that the organization’s employees have undertaken during the reporting, 
period, by:, 
i.  Gender;, 
ii.  Employee category.",404-1-a
397,4.4,Programs and processes to ensure the availability of a skilled workforce,Former EU14
398,4.5,"Average hours of training that the organization’s employees have undertaken during the reporting, 
period, by:, 
i.  Gender;, 
ii.  Employee category.",404-1-a
399,4.6,Actions taken to empower audiences through media literacy skills development and results obtained,M7
400,4.7,"Number, type and impact of sustainability initiatives designed to raise awareness, share knowledge and, 
impact behavior change, and results achieved",EO11
401,4a,"Type and number of sustainability certification, rating and labeling schemes for new construction,, 
management, occupation and redevelopment",CRE8
402,5.1,"a.  When a significant proportion of employees are compensated based on wages subject to minimum, 
wage rules, report the relevant ratio of the entry level wage by gender at significant locations of, 
operation to the minimum wage., 
b.   When a significant proportion of other workers (excluding employees) performing the organization’s, 
activities are compensated based on wages subject to minimum wage rules, describe the actions, 
taken to determine whether these workers are paid above the minimum wage., 
c.   Whether a local minimum wage is absent or variable at significant locations of operation, by gender., 
In circumstances in which different minimums can be used as a reference, report which minimum, 
wage is being used., 
d.   The definition used for ‘significant locations of operation’.",202-1
403,5.1,"a.   Total number and rate of new employee hires during the reporting period, by age group, gender and, 
region., 
b.  Total number and rate of employee turnover during the reporting period, by age group, gender and, 
region.",401-1
404,5.1,"a.   Total number of employees that were entitled to parental leave, by gender., 
b.   Total number of employees that took parental leave, by gender., 
c.  Total number of employees that returned to work in the reporting period after parental leave ended,, 
by gender., 
d.  Total number of employees that returned to work after parental leave ended that were still employed, 
12 months after their return to work, by gender., 
e.  Return to work and retention rates of employees that took parental leave, by gender.",401-3
405,5.1,"Average hours of training that the organization’s employees have undertaken during the reporting, 
period, by:, 
i.  Gender;, 
ii.  Employee category.",404-1-a
406,5.1,"Percentage of total employees by gender and by employee category who received a regular, 
performance and career development review during the reporting period",404-3-a
407,5.1,"a.  Percentage of individuals within the organization’s governance bodies in each of the following, 
diversity categories:, 
i.  Gender;, 
ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;, 
iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups)., 
b.  Percentage of employees per employee category in each of the following diversity categories:, 
i.  Gender;, 
ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;, 
iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups).",405-1
408,5.1,"Ratio of the basic salary and remuneration of women to men for each employee category, by significant, 
locations of operation.",405-2-a
409,5.1,"a.   Total number of incidents of discrimination during the reporting period., 
b.  Status of the incidents and actions taken with reference to the following:, 
i.   Incident reviewed by the organization;, 
ii.   Remediation plans being implemented;, 
iii.   Remediation plans that have been implemented, with results reviewed through routine internal, 
management review processes;, 
iv.  Incident no longer subject to action.",406-1
410,5.2,"Operations and suppliers considered to have significant risk for incidents of:, 
i. child labor;, 
ii. young workers exposed to hazardous work.",408-1-a
411,5.2,"Operations and suppliers considered to have significant risk for incidents of forced or compulsory, 
labor either in terms of:, 
i. type of operation (such as manufacturing plant) and supplier;, 
ii. countries or geographic areas with operations and suppliers considered at risk",409-1-a
412,5.2,"Percentage of new suppliers that were screened using social criteria, 
Percentage of new suppliers that were screened using social criteria",414-1-a
413,5.2,"a.   Number of suppliers assessed for social impacts., 
b.  Number of suppliers identified as having significant actual and potential negative social impacts., 
c.   Significant actual and potential negative social impacts identified in the supply chain., 
d.   Percentage of suppliers identified as having significant actual and potential negative social impacts, 
with which improvements were agreed upon as a result of assessment., 
e.  Percentage of suppliers identified as having significant actual and potential negative social impacts, 
with which relationships were terminated as a result of assessment, and why.",414-2
414,5.4,"a.  Extent of development of significant infrastructure investments and services supported., 
b.   Current or expected impacts on communities and local economies, including positive and negative, 
impacts where relevant., 
c.  Whether these investments and services are commercial, in-kind, or pro bono engagements.",203-1
415,5.4,"a.  Benefits which are standard for full-time employees of the organization but are not provided, 
to temporary or part-time employees, by significant locations of operation. These include, as a, 
minimum:, 
i.  life insurance;, 
ii.  health care;, 
iii.  disability and invalidity coverage;, 
iv.  parental leave;, 
v.  retirement provision;, 
vi.  stock ownership;, 
vii.  others., 
b.  The definition used for ‘significant locations of operation’.",401-2
416,5.4,"a.  Total number of employees that were entitled to parental leave, by gender., 
b.  Total number of employees that took parental leave, by gender., 
c.  Total number of employees that returned to work in the reporting period after parental leave ended,, 
by gender., 
d.  Total number of employees that returned to work after parental leave ended that were still employed, 
12 months after their return to work, by gender., 
e.   Return to work and retention rates of employees that took parental leave, by gender.",401-3
417,5.5,"Composition of the highest governance body and its committees by:, 
i.  Executive or non-executive;, 
ii.  Independence;, 
iii.  Tenure on the governance body;, 
iv.  Number of each individual’s other significant positions and commitments, and the nature of the, 
commitments;, 
v.  Gender;, 
vi.  Membership of under-represented social groups;, 
vii.  Competencies relating to economic, environmental, and social topics;, 
viii.  Stakeholder representation.",102-22-a
418,5.5,"a.   Nomination and selection processes for the highest governance body and its committees., 
b.  Criteria used for nominating and selecting highest governance body members, including whether, 
and how:, 
i.  stakeholders (including shareholders) are involved;, 
ii.   diversity is considered;, 
iii.  independence is considered;, 
iv.   expertise and experience relating to economic, environmental, and social topics are considered.",102-24
419,5.5,"a.  Percentage of individuals within the organization’s governance bodies in each of the following, 
diversity categories:, 
i.  Gender;, 
ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;, 
iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups)., 
b.   Percentage of employees per employee category in each of the following diversity categories:, 
i.  Gender;, 
ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;, 
iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups).",405-1
420,6.3,"A description of how the organization interacts with water, including how and where water is withdrawn,, 
consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked, 
to the organization’s activities, products or services by a business relationship (e.g., impacts caused by, 
runoff).",303-1-a
421,6.3,"A description of how water-related impacts are addressed, including how the organization works with, 
stakeholders to steward water as a shared resource, and how it engages with suppliers or customers, 
with significant water-related impacts.",303-1-c
422,6.3,"A description of any minimum standards set for the quality of effluent discharge, and how these minimum, 
standards were determined, including:, 
i.  how standards for facilities operating in locations with no local discharge requirements were, 
determined;, 
ii.  any internally developed water quality standards or guidelines;, 
iii.  any sector-specific standards considered;, 
iv.  whether the profile of the receiving waterbody was considered.”",303-2-a
423,6.3,"Report a breakdown of total water discharge to all area in megaliters by level of treatment levels were, 
determined, 
determined",303-4
424,6.3,"a.  For the organization’s significant actual and potential waste-related impacts, a description of:, 
i.  the inputs, activities, and outputs that lead or could lead to these impacts;, 
ii.   whether these impacts relate to waste generated in the organization’s own activities or to waste, 
generated upstream or downstream in its value chain.",306-1
425,6.3,"Actions, including circularity measures, taken to prevent waste generation in the organization’s own, 
activities and upstream and downstream in its value chain, and to manage significant impacts from, 
waste generated.",306-2-a
426,6.3,"If the waste generated by the organization in its own activities is managed by a third party, a description, 
of the processes used to determine whether the third party manages the waste in line with contractual or, 
legislative obligations.",306-2-b
427,6.3,The processes used to collect and monitor waste-related data.,306-2-c
428,6.3,Quality of storm water by applicable regulatory standards,AO4
429,6.3,"Land remediated and in need of remediation for the existing or intended land use, according to, 
applicable legal designations",CRE5
430,6.3,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or, 
rehabilitated",MM1
431,6.3,"Total amounts of overburden, rock, tailings, and sludges and their associated risks",MM3
432,6.3,"Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM), 
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and, 
mitigate these risks",MM8
433,6.3,"Number of process safety events, by business activity",OG13
434,6.3,Volume and disposal of formation or produced water,OG5
435,6.3,Amount of drilling waste (drill mud and cuttings) and strategies for treatment and disposal,OG7
436,6.4,"A description of how the organization interacts with water, including how and where water is withdrawn,, 
consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked, 
to the organization’s activities, products or services by a business relationship (e.g., impacts caused by, 
runoff).",303-1-a
437,6.4,"A description of how water-related impacts are addressed, including how the organization works with, 
stakeholders to steward water as a shared resource, and how it engages with suppliers or customers, 
with significant water-related impacts.",303-1-c
