,Target,Target,Available Business Disclosures,Disclosure
37,17.1,"17.1






17.1









17.1





17.1













","a.   A description of the approach to tax, including:
i.  whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;
ii.  the governance body or executive-level position within the organization that formally reviews
and approves the tax strategy, and the frequency of this review;
iii.  the approach to regulatory compliance;
iv.   how the approach to tax is linked to the business and sustainable development strategies of the
organization.
a.  A description of the tax governance and control framework, including:
i.   the governance body or executive-level position within the organization accountable for
compliance with the tax strategy;
ii.   how the approach to tax is embedded within the organization;
iii.  the approach to tax risks, including how risks are identified, managed, and monitored;
iv.   how compliance with the tax governance and control framework is evaluated.
b.  A description of the mechanisms for reporting concerns about unethical or unlawful behavior and the
organization’s integrity in relation to tax.
c.  A description of the assurance process for disclosures on tax and, if applicable, a reference to the
assurance report, statement, or opinion.
a.  A description of the approach to stakeholder engagement and management of stakeholder concerns
related to tax, including:
i.  the approach to engagement with tax authorities;
ii.   the approach to public policy advocacy on tax;
iii.   the processes for collecting and considering the views and concerns of stakeholders, including
external stakeholders.
a.  All tax jurisdictions where the entities included in the organization’s audited consolidated financial
statements, or in the financial information filed on public record, are resident for tax purposes.
b.   For each tax jurisdiction reported in Disclosure 207-4-a:
i.  Names of the resident entities;
ii.  Primary activities of the organization;
iii.  Number of employees, and the basis of calculation of this number;
iv.   Revenues from third-party sales;
v.  Revenues from intra-group transactions with other tax jurisdictions;
vi.   Profit/loss before tax;
vii.  Tangible assets other than cash and cash equivalents;
viii.Corporate income tax paid on a cash basis;
ix.   Corporate income tax accrued on profit/loss;
x.   Reasons for the difference between corporate income tax accrued on profit/loss and the tax due
if the statutory tax rate is applied to profit/loss before tax.
c.   The time period covered by the information reported in Disclosure 207-4","207-1






207-2









207-3





207-4













"
38,17.3,"17.3






17.3









17.3





17.3













","a.   A description of the approach to tax, including:
i.  whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;
ii.   the governance body or executive-level position within the organization that formally reviews
and approves the tax strategy, and the frequency of this review;
iii.  the approach to regulatory compliance;
iv.  how the approach to tax is linked to the business and sustainable development strategies of the
organization.
a.   A description of the tax governance and control framework, including:
i.  the governance body or executive-level position within the organization accountable for
compliance with the tax strategy;
ii.   how the approach to tax is embedded within the organization;
iii.  the approach to tax risks, including how risks are identified, managed, and monitored;
iv.   how compliance with the tax governance and control framework is evaluated.
b.   A description of the mechanisms for reporting concerns about unethical or unlawful behavior and the
organization’s integrity in relation to tax.
c.   A description of the assurance process for disclosures on tax and, if applicable, a reference to the
assurance report, statement, or opinion.
a.   A description of the approach to stakeholder engagement and management of stakeholder
concerns related to tax, including:
i.  the approach to engagement with tax authorities;
ii.   the approach to public policy advocacy on tax;
iii.  the processes for collecting and considering the views and concerns of stakeholders, including
external stakeholders.
a.   All tax jurisdictions where the entities included in the organization’s audited consolidated financial
statements, or in the financial information filed on public record, are resident for tax purposes.
b.  For each tax jurisdiction reported in Disclosure 207-4-a:
i.  Names of the resident entities;
ii.  Primary activities of the organization;
iii.   Number of employees, and the basis of calculation of this number;
iv.  Revenues from third-party sales;
v.  Revenues from intra-group transactions with other tax jurisdictions;
vi.  Profit/loss before tax;
vii.  Tangible assets other than cash and cash equivalents;
viii.Corporate income tax paid on a cash basis;
ix.  Corporate income tax accrued on profit/loss;
x.  Reasons for the difference between corporate income tax accrued on profit/loss and the tax due
if the statutory tax rate is applied to profit/loss before tax.
c.  The time period covered by the information reported in Disclosure 207-4","207-1






207-2









207-3





207-4













"
39,17.7,"17.7
17.7

17.7

17.7","Number, type and impact of physical and technological legacies
Programs and progress relating to materials stewardship

Research and development activity and expenditure aimed at providing reliable electricity and promoting
sustainable development
Total amount invested in renewable energy","EO13
Former
MM11
Former EU8

OG2"
40,2.1,"2.1

2.1

2.1
","Percentage of production volume manufactured in sites certified by an independent third party according
to internationally recognized food safety management system standards
Policies and practices on antibiotic, anti-inflammatory, hormone, and/or growth promotion treatments, by
species and breed type
Policies and practices on communication to consumers about ingredients and nutritional information
beyond legal requirements","FP5

FP12

Former FP8
"
41,2.2,"2.2



2.2

2.2
","Nature, scope and effectiveness of any programs and practices (in-kind contributions, volunteer
initiatives, knowledge transfer, partnerships and product development) that promote access to healthy
lifestyles; the prevention of chronic disease; access to healthy, nutritious and affordable food; and
improved welfare for communities in need
Percentage of total sales volume of consumer products, by product category, that are lowered in
saturated fat, trans fats, sodium and added sugars
Percentage of total sales volume of consumer products, by product category, that contain increased
nutritious ingredients like fiber, vitamins, minerals, phytochemicals or functional food additives","Former FP4



FP6

FP7
"
42,2.3,"2.3







2.3


2.3


2.3

2.3

2.3


2.3

2.3
2.3

2.3

2.3

2.3

2.3

2.3

2.3
2.3

2.3","a.   Total number of identified incidents of violations involving the rights of indigenous peoples during the
reporting period.
b.   Status of the incidents and actions taken with reference to the following: i. Incident reviewed by the
organization;
ii.   Remediation plans being implemented;
iii.  Remediation plans that have been implemented, with results reviewed through routine internal
management review processes;
iv.  Incident no longer subject to action.
Operations with significant actual and potential negative impacts on local communities, including:
i. The location of the operations;
ii.  The significant actual and potential negative impacts of operations
Total number of operations taking place in or adjacent to indigenous peoples’ territories, and number
and percentage of operations or sites where there are formal agreements with indigenous peoples’
communities
Number and description of significant disputes relating to land use, customary rights of local
communities and indigenous peoples
The extent to which grievance mechanisms were used to resolve disputes relating to land use,
customary rights of local communities and indigenous peoples, and the outcomes
Number (and percentage) of company operating sites where artisanal and small-scale mining (asm)
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and
mitigate these risks
Operations where indigenous communities are present or affected by activities and where specific
engagement strategies are in place
Number and description of significant disputes with local communities and indigenous peoples
Number of sites that have been decommissioned and sites that are in the process of being
decommissioned
Number of people physically or economically displaced and compensation, broken down by type of
project
Number of persons physically or economically displaced, either voluntarily or involuntarily, by the airport
operator or on its behalf by a governmental or other entity, and compensation provided
Number of persons voluntarily and involuntarily displaced and/or resettled by development, broken down
by projec
Operations where involuntary resettlement took place, the number of households resettled in each and
how their livelihoods were affected in the process
Stakeholder participation in decision making processes related to energy planning and infrastructure
development
Approach to managing the impacts of displacement
Sites where resettlements took place, the number of households resettled in each, and how their
livelihoods were affected in the process
Volume of biofuels produced and purchased meeting sustainability criteria","411-1







413-2-a


MM5


MM6

MM7

MM8


OG9

OG10
OG11

EU22

AO8

CRE7

OG12

former EU19

Former EU20
MM9

OG14"
43,2.4,"2.4

2.4","Percentage of purchased volume which is verified as being in accordance with credible, internationally
recognized responsible production standards, broken down by standard
Volume of biofuels produced and purchased meeting sustainability criteria","FP2

OG14"
44,2.5,2.5,"Percentage and total of animals raised and/or processed, by species and breed type",FP9
45,3.2,"3.2









3.2


","a.  Benefits which are standard for full-time employees of the organization but are not provided
to temporary or part-time employees, by significant locations of operation. These include, as a
minimum:
i.  life insurance;
ii.   health care;
iii.  disability and invalidity coverage; iv. parental leave;
v.  retirement provision;
vi.   stock ownership;
vii.  others.
b.  The definition used for ‘significant locations of operation’.
Nature, scope and effectiveness of any programs and practices (in-kind contributions, volunteer
initiatives, knowledge transfer, partnerships and product development) that promote access to healthy
lifestyles; the prevention of chronic disease; access to healthy, nutritious and affordable food; and
improved welfare for communities in need","401-2-a









former FP4


"
46,3.3,"3.3


3.3

















","A description of any voluntary health promotion services and programs offered to workers to address
major non-work-related health risks, including the specific health risks addressed, and how the
organization facilitates workers’ access to these services and programs.
a.   For all employees:
i.   The number of fatalities as a result of work-related ill health;
ii.  The number of cases of recordable work-related ill health;
iii.   The main types of work-related ill health.
b.  For all workers who are not employees but whose work and/or workplace is controlled by the
organization:
i.  The number of fatalities as a result of work-related ill health;
ii.  The number of cases of recordable work-related ill health;
iii.  The main types of work-related ill health.
c.  The work-related hazards that pose a risk of ill health, including:
i.   how these hazards have been determined;
ii.  which of these hazards have caused or contributed to cases of ill health during the reporting
period;
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of
controls.
d.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of
worker excluded.
e.   Any contextual information necessary to understand how the data have been compiled, such as any
standards, methodologies, and assumptions used.","403-6-b


403-10

















"
47,3.4,"3.4

















","a.  For all employees:
i.  The number of fatalities as a result of work-related ill health;
ii.  The number of cases of recordable work-related ill health;
iii.  The main types of work-related ill health.
b.   For all workers who are not employees but whose work and/or workplace is controlled by the
organization:
i.  The number of fatalities as a result of work-related ill health;
ii.  The number of cases of recordable work-related ill health;
iii.  The main types of work-related ill health.
c.  The work-related hazards that pose a risk of ill health, including:
i.  how these hazards have been determined;
ii.   which of these hazards have caused or contributed to cases of ill health during the reporting
period;
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of
controls.
d.   Whether and, if so, why any workers have been excluded from this disclosure, including the types of
worker excluded.
e.   Any contextual information necessary to understand how the data have been compiled, such as any
standards, methodologies, and assumptions used.","403-10

















"
48,3.5,"3.5


3.5

3.5

","A description of any voluntary health promotion services and programs offered to workers to address
major non-work-related health risks, including the specific health risks addressed, and how the
organization facilitates workers’ access to these services and programs.
Actions taken to improve performance in relation to content dissemination issues (accessibility and
protection of vulnerable audiences and informed decision making) and results obtained
Number and nature of responses (feedback/complaints) related to content dissemination, including
protection of vulnerable audiences and informed decision making and accessibility, and processes for
addressing these responses","403-6-b


M4

M5

"
49,3.6,"3.6









3.6










3.6






","Report the information for all employees about:
i.  The number and rate of fatalities as a result of work-related injury;
ii.  The number and rate of high-consequence work-related injuries (excluding fatalities);
iii.  The number and rate of recordable work-related injuries;
iv.  The main types of work-related injury;
v.  The number of hours worked.
Whether and, if so, why any workers have been excluded from this disclosure, including the types of
worker excluded.
Any contextual information necessary to understand how the data have been compiled, such as any
standards, methodologies, and assumptions used.
Report the information for all workers who are not employees but whose work and/or workplace is
controlled by the organization:
i.  The number and rate of fatalities as a result of work-related injury;
ii.  The number and rate of high-consequence work-related injuries (excluding fatalities);
iii.  The number and rate of recordable work-related injuries;
iv.  The main types of work-related injury;
v.   The number of hours worked.
Whether and, if so, why any workers have been excluded from this disclosure, including the types of
worker excluded.
Any contextual information necessary to understand how the data have been compiled, such as any
standards, methodologies, and assumptions used.
The work-related hazards that pose a risk of high-consequence injury, including:
i.  how these hazards have been determined;
ii.  which of these hazards have caused or contributed to high-consequence injuries during the
reporting period;
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of
controls.
Any actions taken or underway to eliminate other work-related hazards and minimize risks using the
hierarchy of controls.","403-9-a









403-9-b










403-9-c






"
50,3.7,"3.7

3.7

","An explanation of how the organization facilitates workers’ access to non-occupational medical and
healthcare services, and the scope of access provided.
A description of any voluntary health promotion services and programs offered to workers to address
major non-work-related health risks, including the specific health risks addressed, and how the
organization facilitates workers’ access to these services and programs.","403-6-a

403-6-b

"
51,3.8,"3.8



3.8
","a.   Examples of significant identified indirect economic impacts of the organization, including positive
and negative impacts.
b.   Significance of the indirect economic impacts in the context of external benchmarks and stakeholder
priorities, such as national and international standards, protocols, and policy agendas.
An explanation of how the organization facilitates workers’ access to non-occupational medical and
healthcare services, and the scope of access provided.","203-2



403-6-a
"
52,3.9,"3.9


3.9




3.9




3.9
3.9









3.9



3.9









3.9










3.9


3.9


3.9
3.9
3.9

3.9






3.9
3.9




3.9

3.9
3.9




3.9




3.9



3.9

3.9





3.9





3.9



3.9










3.9







3.9


















3.9
3.9

3.9
3.9

3.9
3.9

3.9


3.9
3.9
3.9
3.9
3.9","a.  Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent.
b.  Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.
c.  Biogenic CO2 emissions in metric tons of CO2 equivalent
a.  Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent
b.   If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2
equivalent.
c.  If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,
or al
a.   Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent.
b.   If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3,
or all.
c.  Biogenic CO2 emissions in metric tons of CO2 equivalent.
d.  Other indirect (Scope 3) GHG emissions categories and activities included in the calculation
Production, imports, and exports of ODS in metric tons of CFC-11 (trichlorofluoromethane) equivalent
a.   Significant air emissions, in kilograms or multiples, for each of the following:
i.  NOX
ii.  SOX
iii.  Persistent organic pollutants (POP)
iv.  Volatile organic compounds (VOC)
v.  Hazardous air pollutants (HAP)
vi.  Particulate matter (PM)
vii.  Other standard categories of air emissions identified in relevant regulations
b.  Source of the emission factors used.
c.  Standards, methodologies, assumptions, and/or calculation tools used.
a.  For the organization’s significant actual and potential waste-related impacts, a description of:
i.  the inputs, activities, and outputs that lead or could lead to these impacts;
ii.   whether these impacts relate to waste generated in the organization’s own activities or to waste
generated upstream or downstream in its value chain.""
Total weight of hazardous waste, with a breakdown by the following disposal methods where applicable:
i.  Reuse
ii.  Recycling
iii.  Composting
iv.  Recovery, including energy recovery
v.  Incineration (mass burn)
vi.  Deep well injection
vii.  Landfill
viii.  On-site storage
iv.  Other (to be specified by the organization)
Total weight of non-hazardous waste, with a breakdown by the following disposal methods where
applicable:
i.  Reuse
ii.  Recycling
iii.  Composting
iv.  Recovery, including energy recovery
v.  Incineration (mass burn)
vi.  Deep well injection
vii.  Landfill
viii.  On-site storage
iv.  Other (to be specified by the organization)
Actions, including circularity measures, taken to prevent waste generation in the organization’s own
activities and upstream and downstream in its value chain, and to manage significant impacts from
waste generated.
If the waste generated by the organization in its own activities is managed by a third party, a description
of the processes used to determine whether the third party manages the waste in line with contractual or
legislative obligations.
The processes used to collect and monitor waste-related data.
Total number and total volume of recorded significant spills
Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition
of the waste.
The following additional information for each spill that was reported in the organization’s financial
statements:
i.  Location of spill;
ii.  Volume of spill;
iii.   Material of spill, categorized by: oil spills (soil or water surfaces), fuel spills (soil or water
surfaces), spills of wastes (soil or water surfaces), spills of chemicals (mostly soil or water
surfaces), and other (to be specified by the organization)
Impacts of significant spills
Total weight for each of the following:
i.  Hazardous waste transported
ii.  Hazardous waste imported
iii.  Hazardous waste exported
iv. Hazardous waste treated
Total weight of waste diverted from disposal in metric tons, and a breakdown of this total by composition
of the waste.
Percentage of hazardous waste shipped internationally
Total weight of hazardous waste diverted from disposal in metric tons, and a breakdown of this total by
the following recovery operations:
i.  Preparation for reuse;
ii.  Recycling;
iii.  Other recovery operations.
Total weight of non-hazardous waste diverted from disposal in metric tons, and a breakdown of this total
by the following recovery operations:
i.  Preparation for reuse;
ii.  Recycling;
iii.  Other recovery operations.
A breakdown of the total weight in metric tons of hazardous waste and of non-hazardous waste diverted
from disposal:
i.  onsite;
ii.  offsite.
Total weight of waste directed to disposal in metric tons, and a breakdown of this total by composition of
the waste.
Total weight of hazardous waste directed to disposal in metric tons, and a breakdown of this total by the
following disposal operations:
i.  Incineration (with energy recovery);
ii.  Incineration (without energy recovery);
iii.  Landfilling;
iv.  Other disposal operations.
Total weight of non-hazardous waste directed to disposal in metric tons, and a breakdown of this total by
the following disposal operations:
i.  Incineration (with energy recovery);
ii.  Incineration (without energy recovery);
iii.  Landfilling;
iv.  Other disposal operations.
For each disposal operation listed in Disclosures 306-5-b and 306-5-c, a breakdown of the total weight in
metric tons of hazardous waste and of non-hazardous waste directed to disposal:
i.  onsite;
ii.  offsite.
Report the information for all workers who are not employees but whose work and/or workplace is
controlled by the organization:
i.  The number and rate of fatalities as a result of work-related injury;
ii.  The number and rate of high-consequence work-related injuries (excluding fatalities);
iii.  The number and rate of recordable work-related injuries;
iv.  The main types of work-related injury;
v.  The number of hours worked.
Whether and, if so, why any workers have been excluded from this disclosure, including the types of
worker excluded.
Any contextual information necessary to understand how the data have been compiled, such as any
standards, methodologies, and assumptions used.
The work-related hazards that pose a risk of high-consequence injury, including:
i.  how these hazards have been determined;
ii.  which of these hazards have caused or contributed to high-consequence injuries during the
reporting period;
iii.  actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of
controls.
Any actions taken or underway to eliminate other work-related hazards and minimize risks using the
hierarchy of controls.
a.   For all employees:
i.  The number of fatalities as a result of work-related ill health;
ii.   The number of cases of recordable work-related ill health;
iii.  The main types of work-related ill health.
b.  For all workers who are not employees but whose work and/or workplace is controlled by the
organization:
i.   The number of fatalities as a result of work-related ill health;
ii.  The number of cases of recordable work-related ill health;
iii.   The main types of work-related ill health.
c.  The work-related hazards that pose a risk of ill health, including:
i.  how these hazards have been determined;
ii.  which of these hazards have caused or contributed to cases of ill health during the reporting
period;
iii.   actions taken or underway to eliminate these hazards and minimize risks using the hierarchy of
controls.
d.  Whether and, if so, why any workers have been excluded from this disclosure, including the types of
worker excluded.
e.   Any contextual information necessary to understand how the data have been compiled, such as any
standards, methodologies, and assumptions used.
Aircraft and pavement de-icing/anti-icing fluid used and treated by m3 and/or metric tonnes
Ambient air quality levels according to pollutant concentrations in microgram per cubic meter (μg/m3) or
parts per million (ppm) by regulatory regime
Amount of drilling waste (drill mud and cuttings) and strategies for treatment and disposal
Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or
rehabilitated
Benzene, lead and sulfur content in fuels
Land remediated and in need of remediation for the existing or intended land use, according to
applicable legal designations
Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM)
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and
mitigate these risks
Number of process safety events, by business activity
Quality of storm water by applicable regulatory standards
Total amounts of overburden, rock, tailings, and sludges and their associated risks
Volume and disposal of formation or produced water
Volume of flared and vented hydrocarbon","305-1


305-2




305-3




305-6-a
305-7









306-1



306-2-a









306-2-b










306-2-a


306-2-b


306-2-c
306-3-a
306-3-a

306-3-b






306-3-c
306-4-a




306-4-a

306-4-b
306-4-b




306-4-c




306-4-d



306-5-a

306-5-b





306-5-c





306-5-d



403-9-b










403-9-c







403-10


















AO6
AO5

OG7
MM1

OG8
CRE5

MM8


OG13
AO4
MM3
OG5
OG6"
53,4.3,"4.3


","Average hours of training that the organization’s employees have undertaken during the reporting
period, by:
i.  Gender;
ii.  Employee category","404-1-a


"
54,4.4,"4.4



4.4","Average hours of training that the organization’s employees have undertaken during the reporting
period, by:
i.  Gender;
ii.  Employee category.
Programs and processes to ensure the availability of a skilled workforce","404-1-a



Former EU14"
55,4.5,"4.5


","Average hours of training that the organization’s employees have undertaken during the reporting
period, by:
i.  Gender;
ii.  Employee category.","404-1-a


"
56,4.6,4.6,Actions taken to empower audiences through media literacy skills development and results obtained,M7
57,4.7,"4.7
","Number, type and impact of sustainability initiatives designed to raise awareness, share knowledge and
impact behavior change, and results achieved","EO11
"
58,4a,"4a
","Type and number of sustainability certification, rating and labeling schemes for new construction,
management, occupation and redevelopment","CRE8
"
59,5.1,"5.1









5.1



5.1



5.1






5.1

5.1








5.1

5.1





","a.  When a significant proportion of employees are compensated based on wages subject to minimum
wage rules, report the relevant ratio of the entry level wage by gender at significant locations of
operation to the minimum wage.
b.   When a significant proportion of other workers (excluding employees) performing the organization’s
activities are compensated based on wages subject to minimum wage rules, describe the actions
taken to determine whether these workers are paid above the minimum wage.
c.   Whether a local minimum wage is absent or variable at significant locations of operation, by gender.
In circumstances in which different minimums can be used as a reference, report which minimum
wage is being used.
d.   The definition used for ‘significant locations of operation’.
a.   Total number and rate of new employee hires during the reporting period, by age group, gender and
region.
b.  Total number and rate of employee turnover during the reporting period, by age group, gender and
region.
Average hours of training that the organization’s employees have undertaken during the reporting
period, by:
i.  Gender;
ii.  Employee category.
a.   Total number of employees that were entitled to parental leave, by gender.
b.   Total number of employees that took parental leave, by gender.
c.  Total number of employees that returned to work in the reporting period after parental leave ended,
by gender.
d.  Total number of employees that returned to work after parental leave ended that were still employed
12 months after their return to work, by gender.
e.  Return to work and retention rates of employees that took parental leave, by gender.
Percentage of total employees by gender and by employee category who received a regular
performance and career development review during the reporting period
a.  Percentage of individuals within the organization’s governance bodies in each of the following
diversity categories:
i.  Gender;
ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;
iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups).
b.  Percentage of employees per employee category in each of the following diversity categories:
i.  Gender;
ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;
iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups).
Ratio of the basic salary and remuneration of women to men for each employee category, by significant
locations of operation.
a.   Total number of incidents of discrimination during the reporting period.
b.  Status of the incidents and actions taken with reference to the following:
i.   Incident reviewed by the organization;
ii.   Remediation plans being implemented;
iii.   Remediation plans that have been implemented, with results reviewed through routine internal
management review processes;
iv.  Incident no longer subject to action.","202-1









401-1



404-1-a



401-3






404-3-a

405-1








405-2-a

406-1





"
60,5.2,"5.2


5.2



5.2

5.2





","Operations and suppliers considered to have significant risk for incidents of:
i. child labor;
ii. young workers exposed to hazardous work.
Operations and suppliers considered to have significant risk for incidents of forced or compulsory
labor either in terms of:
i. type of operation (such as manufacturing plant) and supplier;
ii. countries or geographic areas with operations and suppliers considered at risk
Percentage of new suppliers that were screened using social criteria

a.   Number of suppliers assessed for social impacts.
b.  Number of suppliers identified as having significant actual and potential negative social impacts.
c.   Significant actual and potential negative social impacts identified in the supply chain.
d.   Percentage of suppliers identified as having significant actual and potential negative social impacts
with which improvements were agreed upon as a result of assessment.
e.  Percentage of suppliers identified as having significant actual and potential negative social impacts
with which relationships were terminated as a result of assessment, and why.","408-1-a


409-1-a



414-1-a

414-2





"
61,5.4,"5.4



5.4










5.4





","a.  Extent of development of significant infrastructure investments and services supported.
b.   Current or expected impacts on communities and local economies, including positive and negative
impacts where relevant.
c.  Whether these investments and services are commercial, in-kind, or pro bono engagements.
a.  Benefits which are standard for full-time employees of the organization but are not provided
to temporary or part-time employees, by significant locations of operation. These include, as a
minimum:
i.  life insurance;
ii.  health care;
iii.  disability and invalidity coverage;
iv.  parental leave;
v.  retirement provision;
vi.  stock ownership;
vii.  others.
b.  The definition used for ‘significant locations of operation’.
a.  Total number of employees that were entitled to parental leave, by gender.
b.  Total number of employees that took parental leave, by gender.
c.  Total number of employees that returned to work in the reporting period after parental leave ended,
by gender.
d.  Total number of employees that returned to work after parental leave ended that were still employed
12 months after their return to work, by gender.
e.   Return to work and retention rates of employees that took parental leave, by gender.","203-1



401-2










401-3





"
62,5.5,"5.5









5.5






5.5







","Composition of the highest governance body and its committees by:
i.  Executive or non-executive;
ii.  Independence;
iii.  Tenure on the governance body;
iv.  Number of each individual’s other significant positions and commitments, and the nature of the
commitments;
v.  Gender;
vi.  Membership of under-represented social groups;
vii.  Competencies relating to economic, environmental, and social topics;
viii.  Stakeholder representation.
a.   Nomination and selection processes for the highest governance body and its committees.
b.  Criteria used for nominating and selecting highest governance body members, including whether
and how:
i.  stakeholders (including shareholders) are involved;
ii.   diversity is considered;
iii.  independence is considered;
iv.   expertise and experience relating to economic, environmental, and social topics are considered.
a.  Percentage of individuals within the organization’s governance bodies in each of the following
diversity categories:
i.  Gender;
ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;
iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups).
b.   Percentage of employees per employee category in each of the following diversity categories:
i.  Gender;
ii.  Age group: under 30 years old, 30-50 years old, over 50 years old;
iii.  Other indicators of diversity where relevant (such as minority or vulnerable groups).","102-22-a









102-24






405-1







"
63,6.3,"6.3



6.3


6.3






6.3


6.3



6.3


6.3


6.3
6.3
6.3

6.3

6.3


6.3
6.3
6.3
6.3","A description of how the organization interacts with water, including how and where water is withdrawn,
consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked
to the organization’s activities, products or services by a business relationship (e.g., impacts caused by
runoff).
A description of how water-related impacts are addressed, including how the organization works with
stakeholders to steward water as a shared resource, and how it engages with suppliers or customers
with significant water-related impacts.
A description of any minimum standards set for the quality of effluent discharge, and how these minimum
standards were determined, including:
i.  how standards for facilities operating in locations with no local discharge requirements were
determined;
ii.  any internally developed water quality standards or guidelines;
iii.  any sector-specific standards considered;
iv.  whether the profile of the receiving waterbody was considered.”
Report a breakdown of total water discharge to all area in megaliters by level of treatment levels were
determined

a.  For the organization’s significant actual and potential waste-related impacts, a description of:
i.  the inputs, activities, and outputs that lead or could lead to these impacts;
ii.   whether these impacts relate to waste generated in the organization’s own activities or to waste
generated upstream or downstream in its value chain.
Actions, including circularity measures, taken to prevent waste generation in the organization’s own
activities and upstream and downstream in its value chain, and to manage significant impacts from
waste generated.
If the waste generated by the organization in its own activities is managed by a third party, a description
of the processes used to determine whether the third party manages the waste in line with contractual or
legislative obligations.
The processes used to collect and monitor waste-related data.
Amount of drilling waste (drill mud and cuttings) and strategies for treatment and disposal
Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or
rehabilitated
Land remediated and in need of remediation for the existing or intended land use, according to
applicable legal designations
Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM)
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and
mitigate these risks
Number of process safety events, by business activity
Quality of storm water by applicable regulatory standards
Total amounts of overburden, rock, tailings, and sludges and their associated risks
Volume and disposal of formation or produced water","303-1-a



303-1-c


303-2-a






303-4


306-1



306-2-a


306-2-b


306-2-c
OG7
MM1

CRE5

MM8


OG13
AO4
MM3
OG5"
64,6.4,"6.4



6.4


6.4



6.4

6.4

6.4
6.4

6.4","A description of how the organization interacts with water, including how and where water is withdrawn,
consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked
to the organization’s activities, products or services by a business relationship (e.g., impacts caused by
runoff).
A description of how water-related impacts are addressed, including how the organization works with
stakeholders to steward water as a shared resource, and how it engages with suppliers or customers
with significant water-related impacts.
Report a breakdown of total water withdrawal from each of the sources listed in Disclosures 303-3-a and
303-3-b in megaliters by the following categories:
i.  Freshwater (≤1,000 mg/L Total Dissolved Solids);
ii.  Other water (>1,000 mg/L Total Dissolved Solids).
Report the total water consumption from all areas in megaliters.

Report the total water consumption from all areas with water stress in megaliters.

Building water intensity
Type and number of sustainability certification, rating and labeling schemes for new construction,
management, occupation and redevelopment
Volume and disposal of formation or produced water","303-1-a



303-1-c


303-3-c



303-5-a

303-5-b

CRE2
CRE8

OG5"
